Newspaper,Heading,Date,Time,URL
Indian Express,Israeli company Cellebrite says it can unlock any iPhone or iPad for police,2019-06-17,4:33:27 pm,https://indianexpress.com/article/technology/mobile-tabs/israeli-company-cellebrite-says-it-can-unlock-any-iphone-or-ipad-for-police-5784706/
Indian Express,"Nubia Red Magic 3  to launch in India today: Expected price, specs ",2019-06-17,4:57:39 pm,https://indianexpress.com/article/technology/mobile-tabs/nubia-red-magic-3-gaming-phone-india-launch-price-specifications-features-sale-date-5783829/
Indian Express,"Apple's iPhone 11 to ditch Lightning port for USB-C, hints iOS 13 beta",2019-06-17,11:32:00 am,https://indianexpress.com/article/technology/mobile-tabs/apples-iphone-11-to-ditch-lightning-port-for-usb-c-hints-ios-13-beta-5783913/
Indian Express,Vivo Z1 Pro hands-on images leaked ahead of India launch,2019-06-17,4:22:45 pm,https://indianexpress.com/article/technology/mobile-tabs/vivo-z1-pro-hands-on-images-leaked-ahead-of-india-launch-5784811/
Indian Express,"Huawei’s Android alternative could fail without popular apps, developer support",2019-06-17,4:46:17 pm,https://indianexpress.com/article/technology/mobile-tabs/why-huawei-hongmeng-os-could-have-a-tough-time-competing-with-google-android-5782793/
Indian Express,"Xiaomi Redmi K20 Pro as 'the world's fastest phone', claims teaser ahead of India launch",2019-06-17,12:43:24 pm,https://indianexpress.com/article/technology/mobile-tabs/redmi-shares-teaser-for-redmi-k20-pro-launch-in-india-by-mid-july-5783036/
Indian Express,"World Cup 2019, India vs Pakistan cricket match online: Watch match on your smartphone",2019-06-17,17:37:15:00,https://indianexpress.com/article/technology/techook/world-cup-2019-india-vs-pakistan-live-cricket-streaming-online-watch-match-online-on-your-smartphone-5783065/
Indian Express,BSNL launches new Rs 198 International roaming pack with 90 days validity,2019-06-17,17:34:50:00,https://indianexpress.com/article/technology/tech-news-technology/bsnl-launches-new-rs-198-international-roaming-pack-with-90-days-validity-5785015/
Indian Express,"Nubia Red Magic 3 gaming smartphone to launch in India today: Expected price, specs",2019-06-17,16:57:39:00,https://indianexpress.com/article/technology/mobile-tabs/nubia-red-magic-3-gaming-phone-india-launch-price-specifications-features-sale-date-5783829/
Indian Express,"Huawei CEO says underestimated impact of US ban, sees revenue dip",2019-06-17,16:48:02:00,https://indianexpress.com/article/technology/tech-news-technology/huawei-ceo-says-underestimated-impact-of-us-ban-sees-revenue-dip-5784871/
Indian Express,"Huawei’s Android alternative could fail without popular apps, developer support",2019-06-17,16:46:17:00,https://indianexpress.com/article/technology/mobile-tabs/why-huawei-hongmeng-os-could-have-a-tough-time-competing-with-google-android-5782793/
Indian Express,Israeli company Cellebrite says it can unlock any iPhone or iPad for police,2019-06-17,16:33:27:00,https://indianexpress.com/article/technology/mobile-tabs/israeli-company-cellebrite-says-it-can-unlock-any-iphone-or-ipad-for-police-5784706/
Indian Express,Vivo Z1 Pro hands-on images leaked ahead of India launch,2019-06-17,16:22:45:00,https://indianexpress.com/article/technology/mobile-tabs/vivo-z1-pro-hands-on-images-leaked-ahead-of-india-launch-5784811/
Indian Express,"Huawei Mate 30 Pro concept renders show V-shaped quad camera, punch hole display",2019-06-17,14:08:49:00,https://indianexpress.com/article/technology/mobile-tabs/huawei-mate-30-pro-concept-renders-show-v-shaped-quad-camera-punch-hole-display-5784309/
Indian Express,Novel algorithm can help robots prevent colliding with humans,2019-06-17,13:58:23:00,https://indianexpress.com/article/technology/science/novel-algorithm-can-help-robots-prevent-colliding-with-humans-5784443/
Indian Express,"Flipkart Mobiles Bonanza sale: Top deals on iPhone X, Nokia 6.1, Asus 5Z, and more",2019-06-17,13:44:19:00,https://indianexpress.com/article/technology/techook/flipkart-mobiles-bonanza-sale-iphone-x-nokia-asus-5z-redmi-note-6-pro5784430/
Indian Express,US chipmakers quietly lobby to ease Huawei ban,2019-06-17,13:29:52:00,https://indianexpress.com/article/technology/tech-news-technology/u-s-chipmakers-quietly-lobby-to-ease-huawei-ban-5784398/
Indian Express,"Xiaomi’s Android Q roll out: These 11 phones, and Poco F1 will get the update",2019-06-17,12:53:53:00,https://indianexpress.com/article/technology/mobile-tabs/poco-f1-to-get-android-q-update-along-with-11-xioami-smartphones-5783143/
