Newspaper,Heading,Date,Time,URL
Hindiustan Times,Facebook in talks with US regulator over digital currency plans: Report,2019-06-03,14:40:00,https://www.hindustantimes.com/tech/facebook-in-talks-with-us-regulator-over-digital-currency-plans-report/story-7MEP006oIKkt9fvXcDMgGP.html
Hindiustan Times,US-based engineers’ body lifts curbs on Huawei employees,2019-06-03,14:36:00,https://www.hindustantimes.com/tech/us-based-engineers-body-lifts-curbs-on-huawei-employees/story-bQuhznY0CJsfMby8MuYhpK.html
Hindiustan Times,OPPO shows off its upcoming phone with under-display camera,2019-06-03,14:29:00,https://www.hindustantimes.com/tech/oppo-shows-off-its-upcoming-phone-with-under-display-camera/story-vKgYSgCs3n1E47NoAkO9HJ.html
Hindiustan Times,OnePlus Bullets Wireless 2 review: OnePlus 7 companion device is a fine upgrade,2019-06-03,13:37:00,https://www.hindustantimes.com/tech/oneplus-bullets-wireless-2-review-oneplus-7-companion-device-is-a-fine-upgrade/story-19c4xKETM6V6i45M2fV0DI.html
Hindiustan Times,"Realme 3 Pro goes on open sale: Price, specifications, features",2019-06-03,11:37:00,https://www.hindustantimes.com/tech/realme-3-pro-goes-on-open-sale-price-specifications-features/story-1tizzSKBXUxVnCeJ1YWsjJ.html
Hindiustan Times,WATCH: Musician’s MacBook Pro emits smoke after ‘normal use’,2019-06-03,11:03:00,https://www.hindustantimes.com/tech/watch-musician-s-macbook-pro-emits-smoke-after-normal-use/story-ZJ1OjV3efXjuzgDmfrZOkJ.html
Hindiustan Times,"Google resolves outage affecting YouTube, Gmail, Google Cloud services in US",2019-06-03,10:42:00,https://www.hindustantimes.com/tech/google-resolves-outage-affecting-youtube-gmail-google-cloud-services-in-us/story-Pk7jOoSEcrFqw2NUmcw3LL.html
Hindiustan Times,"Apple WWDC 19: How to watch keynote, what to expect, and more",2019-06-02,19:34:00,https://www.hindustantimes.com/tech/apple-wwdc-19-how-to-watch-keynote-what-to-expect-and-more/story-doI175Ic9ju3kODaUaGhsL.html
Hindiustan Times,OnePlus 7 vs OnePlus 6T: Should you upgrade?,2019-06-02,18:31:00,https://www.hindustantimes.com/tech/oneplus-7-vs-oneplus-6t-price-specifications-features-compared/story-F2NnK3cGjHSdrxJG1cjb7K.html
Hindiustan Times,US regulators divide scrutiny of Amazon and Google: Report,2019-06-02,17:47:00,https://www.hindustantimes.com/tech/us-regulators-divide-scrutiny-of-amazon-and-google-report/story-py8oEjeDHHvjHtYDcr4QhP.html
Hindiustan Times,Amazon seen spreading its tentacles to 5G with T-Mobile interest,2019-06-02,17:44:00,https://www.hindustantimes.com/tech/amazon-seen-spreading-its-tentacles-to-5g-with-t-mobile-interest/story-1EcTPvnUsjanXZogjRbL7I.html
Hindiustan Times,Twitter asked 19 crore users to verify accounts in H2 2018,2019-06-02,17:41:00,https://www.hindustantimes.com/tech/twitter-asked-19-core-users-to-verify-accounts-in-h2-2018/story-5ik6orCaPjnaB44zl2PhoN.html
Hindiustan Times,Nokia 3.2 review: A budget phone for Android purists,2019-06-02,16:44:00,https://www.hindustantimes.com/tech/nokia-3-2-review-a-budget-phone-for-android-purists/story-fRovtr23787RmzJIewxBPK.html
Hindiustan Times,WWDC 2019: Apple’s iTunes set to retire after almost two decades,2019-06-02,14:41:00,https://www.hindustantimes.com/tech/wwdc-2019-apple-s-itunes-set-to-retire-after-almost-two-decades/story-1KfXTUhf3iWqSdPMhhz8bK.html
Hindiustan Times,"Xiaomi Redmi Note 7S to Samsung Galaxy M30: Best smartphones under Rs 15,000",2019-06-02,14:02:00,https://www.hindustantimes.com/tech/xiaomi-redmi-note-7s-to-samsung-galaxy-m30-best-smartphones-under-rs-15-000/story-Nsqp0kIy0qivuPO8csGaFJ.html
Hindiustan Times,"Tech Wrap: Redmi K20 Pro launch, updated iPod touch, T-Series 100 million subscribers and more ",2019-06-01,18:10:00,https://www.hindustantimes.com/tech/tech-wrap-redmi-k20-pro-launch-updated-ipod-touch-t-series-100-million-subscribers-and-more/story-bDOHYaXKijuOEQH5rqMkhK.html
Hindiustan Times,Google says sorry for sending Kohli’s message to users,2019-06-01,17:26:00,https://www.hindustantimes.com/tech/google-says-sorry-for-sending-kohli-s-message-to-users/story-5S23SORNBHmAgetktsqYDM.html
Hindiustan Times,LG Uplus to create more 5G-based AR content,2019-06-01,17:03:00,https://www.hindustantimes.com/tech/lg-uplus-to-create-more-5g-based-ar-content/story-5AJB6R25aY6idOnyVKmssM.html
Hindiustan Times,Instagram starts rolling out new Stories design,2019-06-01,16:59:00,https://www.hindustantimes.com/tech/instagram-starts-rolling-out-new-stories-design/story-lg8Y2fHnpCST1rYHrQEz1J.html
Hindiustan Times,"Spotify testing ‘Social Listening’, lets multiple users create playlists",2019-06-01,16:49:00,https://www.hindustantimes.com/tech/spotify-testing-social-listening-lets-multiple-users-create-playlists/story-pYtraHvANuMceRRrJdcAyI.html
Hindiustan Times,Xiaomi Mi Band 4 leaked images confirm colour display,2019-06-01,16:34:00,https://www.hindustantimes.com/tech/xiaomi-mi-band-4-leaked-images-confirm-colour-display/story-hm4u1ALaVLyGVJZB3RG6LL.html
Hindiustan Times,Samsung Galaxy M40 full specs leaked ahead of launch,2019-06-01,15:47:00,https://www.hindustantimes.com/tech/samsung-galaxy-m40-full-specs-leaked-ahead-of-launch/story-RK4vjUrThz8hdxuiTzGYZM.html
Hindiustan Times,"WhatsApp latest features: Facebook Stories integration, ‘Night Mode’, QR Code and more",2019-06-01,14:31:00,https://www.hindustantimes.com/tech/whatsapp-latest-features-facebook-stories-integration-night-mode-qr-code-and-more/story-3FWUxNRUsAiKVkpS7RiWfN.html
Hindiustan Times,US judge tells Facebook to submit Cambridge Analytica data records,2019-06-01,13:31:00,https://www.hindustantimes.com/tech/us-judge-tells-facebook-to-submit-cambridge-analytica-data-records/story-n5K7hKH490rTHn0aonHSTN.html
Hindiustan Times,"Windows 7, Windows XP computers vulnerable to BlueKeep malware: Microsoft",2019-06-01,13:20:00,https://www.hindustantimes.com/tech/windows-7-windows-xp-computers-vulnerable-to-bluekeep-malware-microsoft/story-HZws6wRNMPc6xZuY3zE8qM.html
Hindiustan Times,WWDC 2019: Apple to reveal its next era of apps and devices,2019-06-01,13:20:00,https://www.hindustantimes.com/tech/wwdc-2019-apple-to-reveal-its-next-era-of-apps-and-devices/story-12dtkOuTeCKi6Rhx0zqAPJ.html
Hindiustan Times,Apple raises App Store cellular download limit from 150MB to 200MB,2019-06-01,13:20:00,https://www.hindustantimes.com/tech/apple-raises-app-store-cellular-download-limit-from-150mb-to-200mb/story-vZ62cvY5OrzQhCuYF46o0J.html
Hindiustan Times,These pair of AirPods cost only $4,2019-06-01,12:50:00,https://www.hindustantimes.com/tech/these-pair-of-airpods-cost-only-4/story-LVfnjeCduz48ftcvRdE5WP.html
Hindiustan Times,3 in 4 Indians use more than 1 device simultaneously: Adobe study ,2019-05-31,17:59:00,https://www.hindustantimes.com/tech/3-in-4-indians-use-more-than-1-device-simultaneously-adobe-study/story-H9EbZWS5hEK6LeFALlGkrK.html
Hindiustan Times,TikTok-owner ByteDance to enter consumer gadgets segment,2019-05-31,17:56:00,https://www.hindustantimes.com/tech/tiktok-owner-bytedance-to-enter-consumer-gadgets-segment/story-Nk657m6pb3V0M0RAsOn8NM.html
Hindiustan Times,Microsoft launches game subscription service ‘Game Pass’,2019-05-31,17:49:00,https://www.hindustantimes.com/tech/microsoft-launches-game-subscription-service-game-pass/story-x66KoeZSYmeNDjT0yp2E6N.html
Hindiustan Times,"Apple WWDC 2019: iOS 13 update is coming soon, top expected features",2019-05-31,17:13:00,https://www.hindustantimes.com/tech/wwdc-2019-apple-ios-13-release-date-how-to-install-top-features-and-more/story-vDBzqN6QWFJeUh0Ubm0qtL.html
Hindiustan Times,"Netflix whitelists OnePlus 7 series, Huawei P30 phones for HDR video support",2019-05-31,14:57:00,https://www.hindustantimes.com/tech/netflix-whitelists-oneplus-7-series-huawei-p30-phones-for-hdr-video-support/story-d4IbCMLlIpo34GB71mbN7K.html
Hindiustan Times,Samsung Galaxy Note 10 to skip 3.5mm headphone jack: Report,2019-05-31,14:15:00,https://www.hindustantimes.com/tech/samsung-galaxy-note-10-to-skip-3-5mm-headphone-jack-report/story-L1DzCvDVd0ONGwTvByEk8H.html
Hindiustan Times,"Moto Z4 with 48MP camera, Snapdragon 675 SoC launched: Price, specifications, features",2019-05-31,12:54:00,https://www.hindustantimes.com/tech/moto-z4-with-48mp-camera-snapdragon-675-soc-launched-price-specifications-features/story-dkOdbI4egn66mUXBtilCCP.html
Hindiustan Times,"Huawei reinstated in SD Association, cleared to use standards for SD, microSD products for now",2019-05-31,12:13:00,https://www.hindustantimes.com/tech/huawei-reinstated-in-sd-association-cleared-to-use-standards-for-sd-microsd-products-for-now/story-vfr9gNwiPH6jZfkfyg6ztM.html
Hindiustan Times,"Google Maps to show speed limits, radar locations",2019-05-31,12:06:00,https://www.hindustantimes.com/tech/google-maps-to-show-speed-limits-radar-locations/story-f33D6YyLH0DksUyaUePxWO.html
Hindiustan Times,Facebook shareholders challenged Mark Zuckerberg and returned empty-handed,2019-05-31,11:26:00,https://www.hindustantimes.com/tech/facebook-shareholders-challenged-mark-zuckerberg-and-returned-empty-handed/story-J4tr0j8uZd2xDNqjGcyotM.html
Hindiustan Times,Inflatable angry emoji looms over Facebook annual meeting as users vent frustrations,2019-05-31,11:17:00,https://www.hindustantimes.com/tech/inflatable-angry-emoji-looms-over-facebook-annual-meeting-as-users-vent-frustrations/story-DZBwgElltbaPrK5z9OeQ5J.html
Hindiustan Times,Tech giants oppose UK proposal to eavesdrop on encrypted chats,2019-05-31,11:07:00,https://www.hindustantimes.com/tech/tech-giants-oppose-uk-proposal-to-eavesdrop-on-encrypted-chats/story-9CzARE7mq39kIPRQWL9CXK.html
Hindiustan Times,Xiaomi Redmi Note 7S with 48-megapixel camera goes on sale tonight,2019-05-30,18:53:00,https://www.hindustantimes.com/tech/xiaomi-redmi-note-7s-with-48-megapixel-camera-goes-on-sale-tonight/story-9uZMx1mpZrHUWXQbotx8kI.html
Hindiustan Times,"PUBG Mobile 0.13.0 update: Godzilla crossover, new team deathmatch mode and more ",2019-05-30,18:53:00,https://www.hindustantimes.com/tech/pubg-mobile-0-13-0-update-godzilla-crossover-new-team-deathmatch-mode-and-more/story-NIec8ujtBFdRWzA3zDZPlJ.html
Hindiustan Times,Samsung Galaxy M40 India launch: 5 things we know about the new phone,2019-05-30,16:21:00,https://www.hindustantimes.com/tech/samsung-galaxy-m40-india-launch-5-things-we-know-about-the-new-phone/story-Hz9UCyheO1aKdLiMToZBHI.html
Hindiustan Times,Google to still ‘block’ ad blockers on Chrome,2019-05-30,16:20:00,https://www.hindustantimes.com/tech/google-to-still-block-ad-blockers-on-chrome/story-Dr6yFe28vtDizkdsFrFJMP.html
Hindiustan Times,"Xiaomi Redmi K20 Pro 12GB RAM model in the works, to take on OnePlus 7 Pro",2019-05-30,15:52:00,https://www.hindustantimes.com/tech/xiaomi-redmi-k20-pro-12gb-ram-model-in-the-works-to-take-on-oneplus-7-pro/story-fxkDoxEYKVBjKQih9Vsv7H.html
Hindiustan Times,"Detel launches cheapest LED TV in India, priced at Rs 3,699",2019-05-30,13:52:00,https://www.hindustantimes.com/tech/detel-launches-cheapest-led-tv-in-india-priced-at-rs-3-699/story-LT0mXH2b6Xy7eTY7K1AbPK.html
Hindiustan Times,"Alibaba Cloud unveils new products, calls India important market",2019-05-30,12:58:00,https://www.hindustantimes.com/tech/alibaba-cloud-unveils-new-products-calls-india-important-market/story-dKVRsuyumf44OJ0vynaGjO.html
Hindiustan Times,Chinese database leaks 42.5 million records from dating apps,2019-05-30,12:52:00,https://www.hindustantimes.com/tech/chinese-database-leaks-42-5-million-records-from-dating-apps/story-BkD2IIbP8XCbzPpCGP4T4N.html
Hindiustan Times,"Cricket World Cup 2019: Flipkart, Xiaomi launch ‘30-day keep or exchange plan’ for Mi TVs",2019-05-30,13:55:00,https://www.hindustantimes.com/tech/cricket-world-cup-2019-flipkart-xiaomi-launch-30-day-keep-or-exchange-plan-for-mi-tvs/story-HhqX8lDQeHPr8uRPj9ctDP.html
Hindiustan Times,"Huawei launches 5G lab in South Korea, but keeps event low-key after US ban",2019-05-30,12:33:00,https://www.hindustantimes.com/tech/huawei-launches-5g-lab-in-south-korea-but-keeps-event-low-key-after-us-ban/story-tcuDSx5k96VbP1EEZ4yJCI.html
Indian Express,WWDC 2019: Why Apple’s iOS and macOS worlds could converge more,2019-06-03,12:26:15 pm,https://indianexpress.com/article/technology/opinion-technology/wwdc-2019-why-apple-ios-and-macos-worlds-could-converge-more-5761787/
Indian Express,"Google server outage impacts YouTube, Gmail, Snapchat as they all go down",2019-06-03,10:23:49 am,https://indianexpress.com/article/technology/social/google-server-outage-impacts-youtube-gmail-snapchat-as-they-all-go-down-5761906/
Indian Express,"Oppo, Xiaomi show off smartphones with under-display selfie cameras",2019-06-03,2:18:21 pm,https://indianexpress.com/article/technology/mobile-tabs/oppo-shows-off-prototype-smartphone-with-under-display-selfie-camera-5762300/
Indian Express,Apple removes content from iTunes Facebook and Instagram pages ahead of WWDC 2019,2019-06-03,12:02:26 pm,https://indianexpress.com/article/technology/mobile-tabs/apple-removes-content-from-itunes-facebook-and-instagram-pages-ahead-of-wwdc-2019-5761983/
