Newspaper,Heading,Date,Time,URL,Cluster,cluster_similarity_value
Time of India,Dating app Tinder starts testing a ‘hack’ to get more matches,2019-06-01,03:25:07,https://timesofindia.indiatimes.com/gadgets-news/dating-app-tinder-starts-testing-a-hack-to-get-more-matches/articleshow/69606593.cms,0,0.38
Hindiustan Times,Chinese database leaks 42.5 million records from dating apps,2019-05-30,12:52:00,https://www.hindustantimes.com/tech/chinese-database-leaks-42-5-million-records-from-dating-apps/story-BkD2IIbP8XCbzPpCGP4T4N.html,0,0.36
Hindiustan Times,"Spotify testing ‘Social Listening’, lets multiple users create playlists",2019-06-01,16:49:00,https://www.hindustantimes.com/tech/spotify-testing-social-listening-lets-multiple-users-create-playlists/story-pYtraHvANuMceRRrJdcAyI.html,0,0.36
India Times, 7 Features Of The Oppo Reno's Camera That May Genuinely Surprise You! ,2019-06-03,14:44,https://www.indiatimes.com/technology/gadgets/7-features-of-the-oppo-reno-s-camera-that-may-genuinely-surprise-you-368382.html,1,0.18
Hindiustan Times,Xiaomi Mi Band 4 leaked images confirm colour display,2019-06-01,16:34:00,https://www.hindustantimes.com/tech/xiaomi-mi-band-4-leaked-images-confirm-colour-display/story-hm4u1ALaVLyGVJZB3RG6LL.html,1,0.17
Time of India,Huawei Nova 5i with triple rear camera spotted on GeekBench,2019-05-31,09:42:56,https://timesofindia.indiatimes.com/gadgets-news/huawei-nova-5i-with-triple-rear-camera-spotted-on-geekbench/articleshow/69595890.cms,1,0.16
Hindiustan Times,"Moto Z4 with 48MP camera, Snapdragon 675 SoC launched: Price, specifications, features",2019-05-31,12:54:00,https://www.hindustantimes.com/tech/moto-z4-with-48mp-camera-snapdragon-675-soc-launched-price-specifications-features/story-dkOdbI4egn66mUXBtilCCP.html,1,0.17
Indian Express,"Oppo, Xiaomi show off smartphones with under-display selfie cameras",2019-06-03,2:18:21 pm,https://indianexpress.com/article/technology/mobile-tabs/oppo-shows-off-prototype-smartphone-with-under-display-selfie-camera-5762300/,1,0.36
India Today," Galaxy S10: Launch, Expected Specs, Price and Features",2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/video/video/galaxy-s10-launch-expected-specs-price-and-features-1455831-2019-02-14,2,0.27
Time of India,"MacBook Pro reportedly explodes, battery may be to blame",2019-06-01,03:16:41,https://timesofindia.indiatimes.com/gadgets-news/macbook-pro-reportedly-explodes-battery-may-be-to-blame/articleshow/69606504.cms,2,0.19
Hindiustan Times,Samsung Galaxy M40 India launch: 5 things we know about the new phone,2019-05-30,16:21:00,https://www.hindustantimes.com/tech/samsung-galaxy-m40-india-launch-5-things-we-know-about-the-new-phone/story-Hz9UCyheO1aKdLiMToZBHI.html,2,0.27
India Today, Samsung Galaxy M40 full specs revealed ahead of June 11 launch in India,2019-06-03,14:44,https://timesofindia.indiatimes.com/technology/news/story/samsung-galaxy-m40-full-specification-leak-ahead-of-launch-date-in-india-1539970-2019-06-01,2,0.36
Hindiustan Times,3 in 4 Indians use more than 1 device simultaneously: Adobe study ,2019-05-31,17:59:00,https://www.hindustantimes.com/tech/3-in-4-indians-use-more-than-1-device-simultaneously-adobe-study/story-H9EbZWS5hEK6LeFALlGkrK.html,3,0.25
Hindiustan Times,Apple raises App Store cellular download limit from 150MB to 200MB,2019-06-01,13:20:00,https://www.hindustantimes.com/tech/apple-raises-app-store-cellular-download-limit-from-150mb-to-200mb/story-vZ62cvY5OrzQhCuYF46o0J.html,3,0.29
Hindiustan Times,WWDC 2019: Apple to reveal its next era of apps and devices,2019-06-01,13:20:00,https://www.hindustantimes.com/tech/wwdc-2019-apple-to-reveal-its-next-era-of-apps-and-devices/story-12dtkOuTeCKi6Rhx0zqAPJ.html,3,0.32
Hindiustan Times,Twitter asked 19 crore users to verify accounts in H2 2018,2019-06-02,17:41:00,https://www.hindustantimes.com/tech/twitter-asked-19-core-users-to-verify-accounts-in-h2-2018/story-5ik6orCaPjnaB44zl2PhoN.html,4,0.04
Hindiustan Times,Tech giants oppose UK proposal to eavesdrop on encrypted chats,2019-05-31,11:07:00,https://www.hindustantimes.com/tech/tech-giants-oppose-uk-proposal-to-eavesdrop-on-encrypted-chats/story-9CzARE7mq39kIPRQWL9CXK.html,4,0.04
Hindiustan Times,US-based engineers’ body lifts curbs on Huawei employees,2019-06-03,14:36:00,https://www.hindustantimes.com/tech/us-based-engineers-body-lifts-curbs-on-huawei-employees/story-bQuhznY0CJsfMby8MuYhpK.html,4,0.04
Hindiustan Times,"Windows 7, Windows XP computers vulnerable to BlueKeep malware: Microsoft",2019-06-01,13:20:00,https://www.hindustantimes.com/tech/windows-7-windows-xp-computers-vulnerable-to-bluekeep-malware-microsoft/story-HZws6wRNMPc6xZuY3zE8qM.html,4,0.04
Hindiustan Times,TikTok-owner ByteDance to enter consumer gadgets segment,2019-05-31,17:56:00,https://www.hindustantimes.com/tech/tiktok-owner-bytedance-to-enter-consumer-gadgets-segment/story-Nk657m6pb3V0M0RAsOn8NM.html,4,0.04
Time of India,Cusat proposal to curb fake news gets HRD ministry's nod,2019-06-02,05:18:40,https://timesofindia.indiatimes.com/city/kochi/cusat-proposal-to-curb-fake-news-gets-hrd-ministrys-nod/articleshow/69617649.cms,4,0.04
India Times," We're Throwing Away So Much Plastic Waste, Bees Are Now Building Nests With It ",2019-06-03,14:44,https://www.indiatimes.com/technology/science-and-future/we-re-throwing-away-so-much-plastic-waste-bees-are-now-building-nests-with-it-368383.html,4,0.03
Indian Express,Huawei trade secrets lawsuit opens in Texas amid spying allegations,2019-06-03,13:13:53:00,https://indianexpress.com/article/technology/tech-news-technology/huawei-trade-secrets-lawsuit-opens-in-texas-amid-spying-allegations-5762319/,4,0.04
Hindiustan Times,These pair of AirPods cost only $4,2019-06-01,12:50:00,https://www.hindustantimes.com/tech/these-pair-of-airpods-cost-only-4/story-LVfnjeCduz48ftcvRdE5WP.html,4,0.03
Hindiustan Times,Amazon seen spreading its tentacles to 5G with T-Mobile interest,2019-06-02,17:44:00,https://www.hindustantimes.com/tech/amazon-seen-spreading-its-tentacles-to-5g-with-t-mobile-interest/story-1EcTPvnUsjanXZogjRbL7I.html,4,0.04
