Newspaper,Heading,Category,Date,Time,URL
Time of India,Trump says tariffs on Mexico suspended indefinitely,us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/trump-says-tariffs-on-mexico-suspended-indefinitely/articleshow/69703815.cms
Time of India,"Indian-Americans hail decision to let Sikh-American airman to keep turban, beard on active duty",us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/indian-americans-hail-decision-to-let-sikh-american-airman-to-keep-turban-beard-on-active-duty/articleshow/69700957.cms
Time of India,Trump says Nasa should stop talking about going back to the Moon,us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/trump-says-nasa-should-stop-talking-about-going-back-to-the-moon/articleshow/69700515.cms
Time of India,Bangladeshi immigrant charged with planning Times Square attack,us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/bangladeshi-immigrant-charged-with-planning-times-square-attack/articleshow/69699298.cms
Time of India,Turkey gets culled from US defence program in warning sign for India,us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/turkey-gets-culled-from-us-defence-program-in-warning-sign-for-india/articleshow/69699113.cms
Time of India,Mexico promises 'unprecedented steps' to curb migration in US deal,us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/mexico-promises-unprecedented-steps-to-curb-migration-in-us-deal/articleshow/69698715.cms
Time of India,"US, Russia ships nearly collide in Philippine Sea",us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/us-russia-ships-nearly-collide-in-philippine-sea/articleshow/69698178.cms
Time of India,US air force allows turban for Sikh man,us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/us-air-force-allows-turban-for-sikh-man/articleshow/69698081.cms
Time of India,FBI once helped in the hunt for the Bigfoot,us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/fbi-once-helped-in-the-hunt-for-the-bigfoot/articleshow/69698071.cms
Time of India,Trump govt allows hi-tech bomb parts to be built in Saudi Arabia,us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/trump-govt-allows-hi-tech-bomb-parts-to-be-built-in-saudi-arabia/articleshow/69698057.cms
Time of India,"Xi, Putin condemn US dominance as tensions with Trump grow",us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/xi-putin-condemn-us-dominance-as-tensions-with-trump-grow/articleshow/69698029.cms
Time of India,"Trump says US, Mexico reach agreement on migration and tariffs 'indefinitely suspended'",us,2019-06-08,23:51,https://timesofindia.indiatimes.com/world/us/trump-says-us-mexico-reach-agreement-on-migration-and-tariffs-indefinitely-suspended/articleshow/69697981.cms
