Newspaper,Heading,Category,Date,Time,URL
Hindiustan Times,US air force permits Sikh to wear turbans and beard on duty as ‘religious accommodation’,world,2019-06-08,01:52:00,https://www.hindustantimes.com/world-news/us-air-force-permits-sikh-to-wear-turbans-and-beard-on-duty-as-religious-accommodation/story-nm6P5bUeCbp15BE99XH20M.html
Hindiustan Times,"‘They harassed, asked us to kiss’: Lesbian couple assaulted on London bus",world,2019-06-08,09:15:00,https://www.hindustantimes.com/world-news/lesbian-couple-attacked-on-london-bus-for-refusing-to-kiss-for-gang-of-men/story-dYostjRnNWHrPkDHbpypaJ.html
Hindiustan Times,22-year-old Bangladeshi immigrant charged with planning Times Square attack,world,2019-06-08,13:10:00,https://www.hindustantimes.com/world-news/22-year-old-bangladeshi-immigrant-charged-with-planning-times-square-attack/story-PB6NvV50vSIuYIv49o2xyK.html
Hindiustan Times,Onus for Indo-Pak peace on Pakistan: White House,world,2019-06-08,21:12:00,https://www.hindustantimes.com/world-news/onus-for-indo-pak-peace-on-pakistan-white-house/story-f2y8uMAL9MmDcea2pXmYuM.html
Hindiustan Times,Royal honours for ‘extraordinary’ Indians,world,2019-06-08,17:26:00,https://www.hindustantimes.com/world-news/royal-honours-for-extraordinary-indians/story-1Llbov9r2YwdWIVUkOx3cI.html
Hindiustan Times,Michael Pompeo to deliver major policy speech on India-US relations in Indo-Pacific summit ,world,2019-06-08,14:54:00,https://www.hindustantimes.com/world-news/michael-pompeo-to-deliver-major-policy-speech-on-india-us-relations-in-indo-pacific-summit/story-XflqcIhfSxAcgcRyBEj7SI.html
Hindiustan Times,Donald Trump trolled on Twitter after he claims moon part of Mars,world,2019-06-08,13:57:00,https://www.hindustantimes.com/world-news/donald-trump-trolled-on-twitter-after-he-claims-moon-part-of-mars/story-p8xz2zWqSwsX1cewAyQEkK.html
Hindiustan Times,Indian-American activist who shouted at Jeff Bezos arrested,world,2019-06-08,13:33:00,https://www.hindustantimes.com/world-news/indian-american-activist-who-shouted-at-jeff-bezos-arrested/story-X7xxkSrSaTvWicRoQ1bPQP.html
Hindiustan Times,22-year-old Bangladeshi immigrant charged with planning Times Square attack,world,2019-06-08,13:10:00,https://www.hindustantimes.com/world-news/22-year-old-bangladeshi-immigrant-charged-with-planning-times-square-attack/story-PB6NvV50vSIuYIv49o2xyK.html
Hindiustan Times,"S Jaishankar one of the world’s best diplomats, says US experts",world,2019-06-08,11:45:00,https://www.hindustantimes.com/world-news/s-jaishankar-one-of-the-world-s-best-diplomats-says-us-experts/story-9WBPoI1x6Uu7Nz8WhkLkIP.html
Hindiustan Times,"85-year-old UAE-based Indian expat collects over 2,000 coins as part of his hobby",world,2019-06-08,11:12:00,https://www.hindustantimes.com/world-news/85-year-old-uae-based-indian-expat-collects-over-2-000-coins/story-LvIK05IWZSJR2jc6oSYMZL.html
Hindiustan Times,Sri Lanka president Maithripala Sirisena vows to block Easter attacks probe: Report,world,2019-06-08,09:58:00,https://www.hindustantimes.com/world-news/sri-lanka-president-maithripala-sirisena-vows-to-block-easter-attacks-probe-report/story-RKA0ci2NIgcVZ4PLlowmYI.html
Hindiustan Times,"UK flags concern over rights abuse in Pakistan, cool on India",world,2019-06-08,09:53:00,https://www.hindustantimes.com/world-news/uk-flags-concern-over-rights-in-pakistan-cool-on-india/story-N21rogPJLMGZjSL85otJIP.html
Hindiustan Times,"14 lions on the loose in South Africa, spotted roaming near national park",world,2019-06-08,09:24:00,https://www.hindustantimes.com/world-news/14-lions-on-the-loose-in-south-africa-spotted-roaming-near-national-park/story-ZErcgWBelnqdtEhYY9D3WJ.html
Hindiustan Times,We did that 50 yrs ago: Trump takes U-turn on NASA Moon mission,world,2019-06-08,10:02:00,https://www.hindustantimes.com/world-news/donald-trump-criticizes-nasa-moon-mission-after-promoting-it-earlier/story-5eajhsuJSZMxgosQdX5u1O.html
Hindiustan Times,"‘They harassed, asked us to kiss’: Lesbian couple assaulted on London bus",world,2019-06-08,09:15:00,https://www.hindustantimes.com/world-news/lesbian-couple-attacked-on-london-bus-for-refusing-to-kiss-for-gang-of-men/story-dYostjRnNWHrPkDHbpypaJ.html
Hindiustan Times,US air force permits Sikh to wear turbans and beard on duty as ‘religious accommodation’,world,2019-06-08,01:52:00,https://www.hindustantimes.com/world-news/us-air-force-permits-sikh-to-wear-turbans-and-beard-on-duty-as-religious-accommodation/story-nm6P5bUeCbp15BE99XH20M.html
Hindiustan Times,Bill to lower college tuitions for H-1B children advances in New Jersey,world,2019-06-08,09:38:00,https://www.hindustantimes.com/world-news/bill-to-lower-college-tuitions-for-h-1b-children-advances-in-new-jersey/story-D4cZGtk4jagbDQrIck5BbJ.html
Hindiustan Times,"Amid trade war with US, China’s Xi Jinping calls Donald Trump his friend",world,2019-06-07,20:50:00,https://www.hindustantimes.com/world-news/amid-trade-war-with-us-china-s-xi-jinping-calls-donald-trump-his-friend/story-lMpxLdMx4BIk23CtEct5ZK.html
Hindiustan Times,"Sri Lanka to ban chainsaws, timber mills, says President Sirisena",world,2019-06-07,18:50:00,https://www.hindustantimes.com/world-news/sri-lanka-to-ban-chainsaws-timber-mills-says-president-sirisena/story-xHgjXmo2LPpJCyrSqauAvN.html
Hindiustan Times,"Ethiopian leader in Sudan on crisis mediation effort, protesters say medical staff targetted",world,2019-06-07,17:41:00,https://www.hindustantimes.com/world-news/ethiopian-leader-in-sudan-on-crisis-mediation-effort-protesters-say-medical-staff-targetted/story-LGlhxd41ZmnfYlTYLnWKrL.html
Hindiustan Times,Sudan death toll climbs to 113 after crackdown on pro-democracy protesters,world,2019-06-07,17:05:00,https://www.hindustantimes.com/world-news/sudan-death-toll-climbs-to-113-after-crackdown-on-pro-democracy-protesters/story-PB5ZD99pqBNJWw8d1xnwrJ.html
Hindiustan Times,"Brexit-scarred Theresa May steps down, leadership race on",world,2019-06-08,01:53:00,https://www.hindustantimes.com/world-news/brexit-scarred-theresa-may-steps-down-leadership-race-on/story-Vz7sGVpyTCcZBUl7vgdeOO.html
Hindiustan Times,Kremlin says it won’t change behaviour to improve ties with Britain,world,2019-06-07,14:50:00,https://www.hindustantimes.com/world-news/kremlin-says-it-won-t-change-behaviour-to-improve-ties-with-britain/story-3l4OIy6gxysqNhW6MSxUOO.html
Hindiustan Times,"China’s influence creeps up on foreign media: Report. Rubbish, says Beijing ",world,2019-06-07,14:06:00,https://www.hindustantimes.com/world-news/china-s-influence-creeps-up-on-foreign-media-report-rubbish-says-beijing/story-1wfvEXMjsHBGvyZQrA0OLN.html
Hindiustan Times,India slams secrecy in working of UN’s terrorism sanctions panel,world,2019-06-07,13:38:00,https://www.hindustantimes.com/world-news/india-slams-secrecy-in-working-of-un-s-terrorism-sanctions-panel/story-r2PQ4e9AyibApv17xollPI.html
Hindiustan Times,Bangladesh Airlines pilot caught in Qatar with no passport,world,2019-06-07,12:10:00,https://www.hindustantimes.com/world-news/bangladesh-airlines-pilot-caught-in-qatar-with-no-passport/story-X0jmlfKmy6Z2TQzWHOS8QL.html
Hindiustan Times,Google celebrates Women’s Football World Cup with a doodle,world,2019-06-07,11:00:00,https://www.hindustantimes.com/world-news/google-celebrates-women-s-football-world-cup-with-a-doodle/story-BGuIZJYMDJqtDecAxIKyPM.html
Hindiustan Times,"British PM Theresa May steps down as party leader, starts succession race",world,2019-06-07,10:41:00,https://www.hindustantimes.com/world-news/british-pm-theresa-may-steps-down-as-party-leader-starts-succession-race/story-NAaz0QBA6cMDnNSMO2rNPM.html
Hindiustan Times,"Sikh-American airman allowed by US Air Force to keep turban, beard on active duty",world,2019-06-08,01:52:00,https://www.hindustantimes.com/world-news/sikh-american-airman-allowed-by-us-air-force-to-keep-turban-beard-on-active-duty/story-Lht4S8XyTrdAIsYUZPXcZK.html
Hindiustan Times,"Donald Trump should be sent to prison, says US House speaker: Report",world,2019-06-07,13:38:00,https://www.hindustantimes.com/world-news/donald-trump-should-be-sent-to-prison-says-us-house-speaker-report/story-TrXoyqV8am6pERTpAhaeGL.html
Hindiustan Times,Indian-American activist interrupts Amazon founder Jeff Bezos on-stage,world,2019-06-07,19:47:00,https://www.hindustantimes.com/world-news/indian-american-activist-interrupts-amazon-founder-jeff-bezos-on-stage/story-ZG67WJaiuFtkbMrK3WMnKI.html
Hindiustan Times,12 Indians killed in Dubai bus accident,world,2019-06-07,23:39:00,https://www.hindustantimes.com/world-news/oman-dubai-bus-crashes-killing-17-in-uae/story-J0DwFxoG2XTqskZXKmFi0L.html
Hindiustan Times,New Zealand judge allows images of man charged in mosque shootings,world,2019-06-06,22:12:00,https://www.hindustantimes.com/world-news/new-zealand-judge-allows-images-of-man-charged-in-mosque-shootings/story-ZeKlg4mXl8URdRj3MsRONM.html
Hindiustan Times,"Trade between India and China to cross $100 billion, says envoy Vikram Misri ",world,2019-06-06,17:58:00,https://www.hindustantimes.com/world-news/trade-between-india-and-china-to-cross-100-billion-says-envoy-vikram-misri/story-VH1QCQlb6jhCuwjBkaHtyO.html
Hindiustan Times,There’s a CEO crisis in South Africa and no one is stepping up,world,2019-06-06,17:13:00,https://www.hindustantimes.com/world-news/there-s-a-ceo-crisis-in-south-africa-and-no-one-is-stepping-up/story-VLzoPYbUJuUtwgo9HExbOJ.html
Hindiustan Times,"‘Incompetent climbers’ drive Mount Everest death toll, top mountaineer says",world,2019-06-06,15:47:00,https://www.hindustantimes.com/world-news/incompetent-climbers-drive-mount-everest-death-toll-top-mountaineer-says/story-LKXp1zWuIxZ4mCTwjD6MNO.html
Hindiustan Times,German serial killer nurse gets life sentence for 85 murders,world,2019-06-07,01:45:00,https://www.hindustantimes.com/world-news/german-serial-killer-nurse-gets-life-sentence-for-85-murders/story-3CaocRu2RmYRgDo3iuJHlM.html
Hindiustan Times,China rolls out 5G licenses amid trade war with the US,world,2019-06-06,14:51:00,https://www.hindustantimes.com/world-news/china-rolls-out-5g-licenses-amid-trade-war-with-the-us/story-fmqqxkrILNxUx2aEwHZSTM.html
Hindiustan Times,"YouTube to ban ‘hateful,’ ‘supremacist’ videos",world,2019-06-06,14:25:00,https://www.hindustantimes.com/world-news/youtube-to-ban-hateful-supremacist-videos/story-bG1R2ILgcz5AqNc57cvO2J.html
Hindiustan Times,Mystery of deep-sea dragonfish’s transparent teeth solved,world,2019-06-06,13:48:00,https://www.hindustantimes.com/world-news/mystery-of-deep-sea-dragonfish-s-transparent-teeth-solved/story-xlLZbOsRIYD4170OwW5HFN.html
Hindiustan Times,Third man part of ‘world’s most prolific’ gang smuggling anabolic steroids from India to UK held guilty,world,2019-06-06,15:03:00,https://www.hindustantimes.com/world-news/third-man-part-of-world-s-most-prolific-gang-smuggling-anabolic-steroids-from-india-to-uk-held/story-1vxkQ6urTXvSdS9QOKkbaO.html
Hindiustan Times,‘Not here for decoration’: Thai transgender MPs make history in parliament,world,2019-06-07,01:45:00,https://www.hindustantimes.com/world-news/not-here-for-decoration-thai-transgender-mps-make-history-in-parliament/story-Htv87S4x08TXfrtg5TiMaJ.html
Hindiustan Times,Indian workers losing interest in US tech jobs: Report  ,world,2019-06-06,12:52:00,https://www.hindustantimes.com/world-news/indian-workers-losing-interest-in-us-tech-jobs-report/story-VQ4dBdkAhEt3GFrxDRVKeP.html
Hindiustan Times,"English classes, legal services cut for immigrant kids under US government care",world,2019-06-06,11:42:00,https://www.hindustantimes.com/world-news/english-classes-legal-services-cut-for-immigrant-kids-under-us-government-care/story-z9Y6pzGljUi2ZLsfMHqpoK.html
Hindiustan Times,Donald Trump to mark 75th anniversary of D-Day at Normandy,world,2019-06-06,11:30:00,https://www.hindustantimes.com/world-news/donald-trump-to-mark-75th-anniversary-of-d-day-at-normandy/story-j1O5HXF5P2FY29Zbw2ZizM.html
Hindiustan Times,"‘High heels necessary and appropriate’, says Japan minister ",world,2019-06-06,13:04:00,https://www.hindustantimes.com/world-news/high-heels-necessary-says-japan-minister/story-5eDEfxG2txPOACkK0qmb6N.html
Hindiustan Times,"Donald Trump hopeful of deal with North Korea, hints at third summit with Kim Jong Un",world,2019-06-06,10:35:00,https://www.hindustantimes.com/world-news/donald-trump-hopeful-of-deal-with-north-korea-hints-at-third-summit-with-kim-jong-un/story-1U7EkNXDOAgNmbQCBovooI.html
Hindiustan Times,"Dutch teen traumatised by rape refused food, died, but was not euthanised: Minister",world,2019-06-06,22:44:00,https://www.hindustantimes.com/world-news/dutch-teen-traumatised-by-rape-refused-food-died-but-was-not-euthanised-minister/story-tP7KTtku6uwy2BVazPctlN.html
Hindiustan Times,"Progress made in immigration talks with Mexico ‘not nearly enough’, says Donald Trump",world,2019-06-07,01:45:00,https://www.hindustantimes.com/world-news/progress-made-in-immigration-talks-with-mexico-not-nearly-enough-says-donald-trump/story-FVuRrcOSBzIt1lfMC4bHIM.html
Hindiustan Times,40-year black hole mystery solved by ‘best ever’ simulation ,world,2019-06-06,09:02:00,https://www.hindustantimes.com/world-news/40-year-black-hole-mystery-solved-by-best-ever-simulation/story-JrMhcrih8jakKKSZ5GwgJL.html
Hindiustan Times,"Plagiarism charges hit Joe Biden, campaign blames error",world,2019-06-06,00:05:00,https://www.hindustantimes.com/world-news/plagiarism-charges-hit-joe-biden-campaign-blames-error/story-fCKHHgSXc7a3H5xdIEGWiN.html
Hindiustan Times,Thai lawmakers elect junta chief Prayut Chan-O-Cha as PM,world,2019-06-05,23:41:00,https://www.hindustantimes.com/world-news/thai-lawmakers-elect-junta-chief-prayut-chan-o-cha-as-pm/story-NFIFgiw43B55DXOBW9UDjN.html
