Source,Heading,Category,Date,Time,URL
India Today," Don't let Muslim Prabhakaran be born: Sri Lankan President Sirisena calls for unityAcknowledging that the country has now been divided, Sirisena, who spoke in
Mullaitivu, a former bastion of the Liberation Tigers of Tamil Eelam (LTTE),
said that religious leaders and politicians in the country were divided
today.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/don-t-let-muslim-prabhakaran-be-born-sri-lankan-president-sirisena-calls-for-unity-1545450-2019-06-09
India Today," Sri Lankan intelligence chief resigns over Easter Sunday bombingsWhile testifying before the Parliament Select Committee (PSC) last week,
Mendis had claimed that President Maithripala Sirisena failed to hold regular
security review meetings, Colombo Gazette reported.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/sri-lankan-intelligence-chief-resigns-over-easter-sunday-bombings-1545220-2019-06-09
India Today," After Imran Khan writes to Modi, US says onus to solve Indo-Pak tension lies on PakistanThe White House has said Pakistan should take it on itself to resolve the
tension between India and Pakistan.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/united-states-indo-pak-relations-pakistan-1544886-2019-06-08
India Today," Dubai bus accident: Formalities in process to repatriate bodies of 12 Indians killedThe bus, belonging to the Omani bus transport company Mwasalat, carrying 31
passengers, crashed into a height barrier that cut the left side of the bus
and killed passengers sitting on that side.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/dubai-bus-accident-formalities-in-process-to-repatriate-bodies-of-12-indians-killed-1544755-2019-06-08
India Today," Donald Trump says US, Mexico reach agreement to prevent tariffUS President Donald Trump said that he has suspended plans to impose tariffs
on Mexico, tweeting that the country “has agreed to take strong measures”
to stem the flow of Central American migrants into the United States.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/donald-trump-us-mexico-agreement-prevent-tariff-1544678-2019-06-08
India Today," Lesbian couple beaten up in London for refusing to kiss before group of menA lesbian couple was mercilessly beaten up on a London bus when they refused
to perform a kiss in front of a gang of men.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/london-lesbian-couple-beaten-up-1544677-2019-06-08
India Today," Theresa May steps down as party chief, igniting leadership raceTheresa May announced she would step down last month after failing to deliver
Britain's departure from the European Union on time, deepening a political
crisis in a divided country struggling to move on from a 2016 referendum on
Brexit.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/theresa-may-steps-down-as-party-chief-igniting-leadership-race-1544674-2019-06-08
India Today," Trump blames India, China for not doing enough on climate changeBlaming India and other countries for justifying America's withdrawal from
the landmark Paris climate change deal in 2017, Trump said he believes that
""there is a change in weather, and I think it changes both ways"".",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/donald-trump-blames-india-china-for-not-doing-enough-on-climate-change-1544257-2019-06-07
India Today," African bloc suspends Sudan, demanding end to military ruleThe African Union on Thursday suspended Sudan until the establishment of
civilian rule, intensifying global pressure on its new military leaders to
stand down after the worst violence since Omar al-Bashir's fall in April.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/african-bloc-suspends-sudan-demand-military-rule-end-1544171-2019-06-07
India Today," 8 people, including toddler, die while collecting Himalayan viagra in NepalEight people have died while collecting rare medicinal fungus Yarsagumba in
Nepal. A toddler accompanying his mother was also among the dead.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/8-including-toddler-die-while-collecting-himalayan-viagra-in-nepal-1544177-2019-06-07
India Today," Sikh-American airman allowed to keep turban, beard by US Air ForceAirman Harpreetinder Singh Bajwa has been allowed by the United States Air
Force to serve with a beard, turban and unshorn hair.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/us-air-force-airman-harpreetinder-singh-bajwa-beard-turban-1544163-2019-06-07
India Today," Indian-origin man part of world's most prolific steroid smuggling gang faces jail in UK Gurjaipal Dhillon, an Indian-origin man in the UK, acted as a fixer for an
anabolic steroid smuggling gang and arranged dozens of unlicensed shipments
of drugs from India into Europe.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/indian-origin-man-part-world-s-most-prolific-steroid-smuggling-gang-jail-uk-1544052-2019-06-06
India Today," Nepal waits for relatives to claim bodies recovered from Everest during cleanliness driveThe corpses, retrieved as part of a clean-up of the world's tallest mountain,
Mt Everest, lie unclaimed in a hospital morgue in Nepal's capital, Kathmandu.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/nepal-waits-for-relatives-to-claim-bodies-recovered-everest-cleanliness-drive-1544058-2019-06-06
India Today," German nurse who murdered 87 patients given life sentenceNiels Hoegel liked to bring about cardiac arrests in his patients by
injecting them with overdoses of heart medication and other drugs because he
enjoyed the feeling of being able to resuscitate them.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/german-nurse-who-murdered-87-patients-given-life-sentence-1544008-2019-06-06
India Today," Indian businessman installs hand pumps in poverty-stricken Pakistan districtJoginder Singh Salaria set up nearly 62 water pumps in Tharparkar district
with the help of local social workers after knowing the plight of the area
through social media. He also sent bags of grains to the community.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/indian-businessman-hand-pumps-pakistan-poor-tharparkar-district-water-scarcity-1543931-2019-06-06
India Today," 11,000 kg garbage, four dead bodies removed from Mt Everest in two-month long cleanliness driveA clean-up team of 20 sherpa climbers collected five tonnes of litter in
April and May from different camps sites above the base camp and another six
tonnes from the areas below.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/11-000-kg-garbage-four-dead-bodies-removed-from-mt-everest-in-two-month-long-cleanliness-drive-1543470-2019-06-06
India Today," Pride month 2019: Sikh man's rainbow turban impresses Barack ObamaA neuroscientist, amateur pastry chef and part time photographer, Kohli
tweeted that he's proud to be a ""bisexual bearded baking brain scientist"".",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/jiwandeep-kohli-rainbow-turban-barack-obama-twitter-1542944-2019-06-05
India Today," 10% drop in H-1B visa approvals in 2018, US says clampdown is workingThe US has said the country's clampdown on approving H-1B visas has started
showing results. The approvals dipped by 10% in 2018.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/10-drop-in-h-1b-visa-approvals-in-2018-us-says-clampdown-is-working-1542915-2019-06-05
India Today," It's finished: Dutch teen raped as a child opts for euthanasia, leaves moving Instagram postNoa Pothoven, a 17-year-old Dutch girl, has killed herself with state
assistance after her prolonged battle with depression. She was raped in her
childhood.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/noa-pothoven-dutch-girl-euthanasia-1542874-2019-06-05
India Today," For the first time Sri Lanka govt is functioning without Muslim ministers: PM Ranil WickremesinghNine ministers from the Muslim community, in the President Maithripala
Sirirsena's Cabinet, and two provincial governors resigned on Monday accusing
the government of failing to ensure the safety of the people from community.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/sri-lanka-government-muslim-ministers-ranil-wickremesingh-1542873-2019-06-05
India Today," Sudan opposition rejects military's transition plan after day of violenceSudan has been rocked by unrest since December, when anger over rising bread
prices and cash shortages broke into sustained protests that culminated in
the armed forces removing Bashir after three decades in office.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/sudan-opposition-rejects-military-s-transition-plan-after-day-of-violence-1542864-2019-06-05
India Today," Vijay Mallya: Anatomy of an extraditionMost of Vijay Mallya’s Indian assets stand seized by authorities in India
but identifying and clutching his foreign assets through a complex web of
companies has been challenging for the Indian banks.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/vijay-mallya-anatomy-of-extradition-1542843-2019-06-05
India Today," China in war of words with US over Tiananmen Square massacreHundreds of pro-democracy protesters are believed to have been killed in
1989, in and around Beijing's Tiananmen Square, as the People's Liberation
Army launched a brutal crackdown on those demonstrating against the ruling
Communist Party of China.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/china-in-war-of-words-with-us-over-tiananmen-square-massacre-1542709-2019-06-04
India Today," Streets empty in Sudan's capital after deadly army crackdownStreets in the Sudanese capital were empty, a day after a pro-democracy
sit-in was violently overrun by the country's ruling military authorities.",world,2019-06-09,23:49,https://www.indiatoday.in/world/story/streets-empty-sudanese-capital-army-crackdown-1542297-2019-06-04
