Source,Heading,Category,Date,Time,URL
Hindiustan Times,"1 dead, 6 injured after crane collapses in Dallas due to harsh weather ",world,2019-06-10,11:39:00,https://www.hindustantimes.com/world-news/1-dead-6-injured-after-crane-collapses-in-dallas-due-to-harsh-weather/story-1U4Cl35ReVtob11gzYCB5L.html
Hindiustan Times,"UK PM race: Sajid Javid gains, ire over Boris Johnson’s threat to EU",world,2019-06-10,00:51:00,https://www.hindustantimes.com/india-news/uk-pm-race-sajid-javid-gains-ire-over-boris-threat-to-eu/story-jEuLGVrGxuJJNDHBpejl3H.html
Hindiustan Times,German minister to meet Iran’s Rouhani in bid to save nuclear pact,world,2019-06-10,00:48:00,https://www.hindustantimes.com/world-news/german-minister-to-meet-iran-s-rouhani-in-bid-to-save-nuclear-pact/story-TeJe1ZnDFZSLGuoba7kxwO.html
Hindiustan Times,"France reaffirms support to India in fighting terrorism, terror financing",world,2019-06-10,14:40:00,https://www.hindustantimes.com/world-news/france-reaffirms-support-to-india-in-fighting-terrorism-terror-financing/story-3YktIectIEB4RlirWmHgjO.html
Hindiustan Times,"South Korea, US in discord over North Korea’s nuclear policy",world,2019-06-10,13:39:00,https://www.hindustantimes.com/world-news/south-korea-us-in-discord-over-north-korea-s-nuclear-policy/story-HYSKKomtTlotHyhDJVI5MP.html
Hindiustan Times,Donald Trump defends Mexico trade tariff deal even as criticism continues,world,2019-06-10,13:21:00,https://www.hindustantimes.com/world-news/donald-trump-defends-mexico-trade-tariff-deal-even-as-criticism-continues/story-5ZycoqQQgsqBIUTO9We7nN.html
Hindiustan Times,No expansion yet of US-Mexico asylum programme after Donald Trump deal,world,2019-06-10,12:56:00,https://www.hindustantimes.com/world-news/no-expansion-yet-of-us-mexico-asylum-programme-after-donald-trump-deal/story-f35LZksQtbp5HorpzAEPZP.html
Hindiustan Times,"Indian-American held for brandishing gun, causing stampede at pride parade",world,2019-06-10,12:53:00,https://www.hindustantimes.com/world-news/indian-american-held-for-brandishing-gun-causing-stampede-at-us-pride-parade/story-HeLjVyeLWPaUPtZeSKREeL.html
Hindiustan Times,Brazil justice minister laments ‘criminal invasion’ after hack of prosecutors’ phones,world,2019-06-10,12:12:00,https://www.hindustantimes.com/world-news/brazil-justice-minister-laments-criminal-invasion-after-hack-of-prosecutors-phones/story-V3qAEZjhwMboCl8G3wNFiJ.html
Hindiustan Times,"1 dead, 6 injured after crane collapses in Dallas due to harsh weather ",world,2019-06-10,11:39:00,https://www.hindustantimes.com/world-news/1-dead-6-injured-after-crane-collapses-in-dallas-due-to-harsh-weather/story-1U4Cl35ReVtob11gzYCB5L.html
Hindiustan Times,Oak tree symbolizing Trump-Macron friendship dead,world,2019-06-10,11:47:00,https://www.hindustantimes.com/world-news/oak-tree-symbolizing-trump-macron-friendship-dead/story-B7HD8JyGl2Qn9X12qxejgK.html
Hindiustan Times,Peaceful protests in Hong Kong against Chinese extradition end in violence,world,2019-06-10,11:47:00,https://www.hindustantimes.com/world-news/peaceful-protests-in-hong-kong-against-chinese-extradition-end-in-violence/story-3XpQABzTPdy29a7eWFk6fK.html
Hindiustan Times,Hundreds arrested as Kazakhstan elects first new leader in decades,world,2019-06-09,20:26:00,https://www.hindustantimes.com/world-news/hundreds-arrested-as-kazakhstan-elect-first-new-leader-in-decades/story-5jGGeKb0h6y0sVymDIavyN.html
Hindiustan Times,German minister to meet Iran’s Rouhani in bid to save nuclear pact,world,2019-06-10,00:48:00,https://www.hindustantimes.com/world-news/german-minister-to-meet-iran-s-rouhani-in-bid-to-save-nuclear-pact/story-TeJe1ZnDFZSLGuoba7kxwO.html
Hindiustan Times,PM Modi first world leader to visit Sri Lanka after Easter bombings,world,2019-06-09,12:40:00,https://www.hindustantimes.com/world-news/colombo-turns-a-fortress-as-pm-modi-lands-in-sri-lanka/story-r5oYqWWN1I7QsrYxhaLGuI.html
Hindiustan Times,Writer sues publisher for $13 million after losing book deal over a tweet,world,2019-06-09,12:40:00,https://www.hindustantimes.com/world-news/writer-sues-publisher-for-13-4-million-after-losing-book-deal-over-a-tweet/story-p53ZRRckLhjbvatYtUdThL.html
Hindiustan Times,"Several injured in Washington, DC, pride parade from gun scare",world,2019-06-09,10:27:00,https://www.hindustantimes.com/world-news/several-injured-in-washington-dc-pride-parade-from-gun-scare/story-hOHpkbYpRh3RhUdaDcx9bK.html
Hindiustan Times,Sri Lanka president Maithripala Sirisena sacks intel boss over Easter bombings probe,world,2019-06-09,10:11:00,https://www.hindustantimes.com/world-news/sri-lanka-president-maithripala-sirisena-sacks-intel-boss-over-easter-bombings-probe/story-RVftKnKdnmxl7aNGTiKpGN.html
Hindiustan Times,"Cannabis lassi, cocaine: The past drug use of UK PM hopefuls",world,2019-06-09,10:05:00,https://www.hindustantimes.com/world-news/cannabis-lassi-cocaine-the-past-drug-use-of-uk-pm-hopefuls/story-XDETRlsCWQCU4ZuGc1HmqM.html
Hindiustan Times,It’s business as usual at Mexico’s southern border despite Donald Trump deal,world,2019-06-09,09:21:00,https://www.hindustantimes.com/world-news/it-s-business-as-usual-at-mexico-s-southern-border-despite-donald-trump-deal/story-j4qS3slIqSJq6DF6tM2wDM.html
Hindiustan Times,Onus for Indo-Pak peace on Pakistan: White House,world,2019-06-08,21:12:00,https://www.hindustantimes.com/world-news/onus-for-indo-pak-peace-on-pakistan-white-house/story-f2y8uMAL9MmDcea2pXmYuM.html
Hindiustan Times,Royal honours for ‘extraordinary’ Indians,world,2019-06-08,17:26:00,https://www.hindustantimes.com/world-news/royal-honours-for-extraordinary-indians/story-1Llbov9r2YwdWIVUkOx3cI.html
Hindiustan Times,Michael Pompeo to deliver major policy speech on India-US relations in Indo-Pacific summit ,world,2019-06-08,14:54:00,https://www.hindustantimes.com/world-news/michael-pompeo-to-deliver-major-policy-speech-on-india-us-relations-in-indo-pacific-summit/story-XflqcIhfSxAcgcRyBEj7SI.html
Hindiustan Times,Donald Trump trolled on Twitter after he claims moon part of Mars,world,2019-06-08,13:57:00,https://www.hindustantimes.com/world-news/donald-trump-trolled-on-twitter-after-he-claims-moon-part-of-mars/story-p8xz2zWqSwsX1cewAyQEkK.html
Hindiustan Times,Indian-American activist who shouted at Jeff Bezos arrested,world,2019-06-08,13:33:00,https://www.hindustantimes.com/world-news/indian-american-activist-who-shouted-at-jeff-bezos-arrested/story-X7xxkSrSaTvWicRoQ1bPQP.html
Hindiustan Times,22-year-old Bangladeshi immigrant charged with planning Times Square attack,world,2019-06-08,13:10:00,https://www.hindustantimes.com/world-news/22-year-old-bangladeshi-immigrant-charged-with-planning-times-square-attack/story-PB6NvV50vSIuYIv49o2xyK.html
Hindiustan Times,"S Jaishankar’s appointment will boost US-India ties, say experts",world,2019-06-09,01:42:00,https://www.hindustantimes.com/world-news/s-jaishankar-one-of-the-world-s-best-diplomats-says-us-experts/story-9WBPoI1x6Uu7Nz8WhkLkIP.html
Hindiustan Times,"85-year-old UAE-based Indian expat collects over 2,000 coins as part of his hobby",world,2019-06-08,11:12:00,https://www.hindustantimes.com/world-news/85-year-old-uae-based-indian-expat-collects-over-2-000-coins/story-LvIK05IWZSJR2jc6oSYMZL.html
Hindiustan Times,Sri Lanka president Maithripala Sirisena vows to block Easter attacks probe: Report,world,2019-06-08,09:58:00,https://www.hindustantimes.com/world-news/sri-lanka-president-maithripala-sirisena-vows-to-block-easter-attacks-probe-report/story-RKA0ci2NIgcVZ4PLlowmYI.html
Hindiustan Times,"UK flags concern over rights abuse in Pakistan, cool on India",world,2019-06-08,09:53:00,https://www.hindustantimes.com/world-news/uk-flags-concern-over-rights-in-pakistan-cool-on-india/story-N21rogPJLMGZjSL85otJIP.html
Hindiustan Times,"14 lions on the loose in South Africa, spotted roaming near national park",world,2019-06-08,09:24:00,https://www.hindustantimes.com/world-news/14-lions-on-the-loose-in-south-africa-spotted-roaming-near-national-park/story-ZErcgWBelnqdtEhYY9D3WJ.html
Hindiustan Times,We did that 50 yrs ago: Trump takes U-turn on NASA Moon mission,world,2019-06-08,10:02:00,https://www.hindustantimes.com/world-news/donald-trump-criticizes-nasa-moon-mission-after-promoting-it-earlier/story-5eajhsuJSZMxgosQdX5u1O.html
Hindiustan Times,"‘They harassed, asked us to kiss’: Lesbian couple assaulted on London bus",world,2019-06-08,09:15:00,https://www.hindustantimes.com/world-news/lesbian-couple-attacked-on-london-bus-for-refusing-to-kiss-for-gang-of-men/story-dYostjRnNWHrPkDHbpypaJ.html
Hindiustan Times,US air force permits Sikh to wear turbans and beard on duty as ‘religious accommodation’,world,2019-06-08,01:52:00,https://www.hindustantimes.com/world-news/us-air-force-permits-sikh-to-wear-turbans-and-beard-on-duty-as-religious-accommodation/story-nm6P5bUeCbp15BE99XH20M.html
Hindiustan Times,Bill to lower college tuitions for H-1B children advances in New Jersey,world,2019-06-08,09:38:00,https://www.hindustantimes.com/world-news/bill-to-lower-college-tuitions-for-h-1b-children-advances-in-new-jersey/story-D4cZGtk4jagbDQrIck5BbJ.html
Hindiustan Times,"Amid trade war with US, China’s Xi Jinping calls Donald Trump his friend",world,2019-06-07,20:50:00,https://www.hindustantimes.com/world-news/amid-trade-war-with-us-china-s-xi-jinping-calls-donald-trump-his-friend/story-lMpxLdMx4BIk23CtEct5ZK.html
Hindiustan Times,"Sri Lanka to ban chainsaws, timber mills, says President Sirisena",world,2019-06-07,18:50:00,https://www.hindustantimes.com/world-news/sri-lanka-to-ban-chainsaws-timber-mills-says-president-sirisena/story-xHgjXmo2LPpJCyrSqauAvN.html
Hindiustan Times,"Ethiopian leader in Sudan on crisis mediation effort, protesters say medical staff targetted",world,2019-06-07,17:41:00,https://www.hindustantimes.com/world-news/ethiopian-leader-in-sudan-on-crisis-mediation-effort-protesters-say-medical-staff-targetted/story-LGlhxd41ZmnfYlTYLnWKrL.html
Hindiustan Times,Sudan death toll climbs to 113 after crackdown on pro-democracy protesters,world,2019-06-07,17:05:00,https://www.hindustantimes.com/world-news/sudan-death-toll-climbs-to-113-after-crackdown-on-pro-democracy-protesters/story-PB5ZD99pqBNJWw8d1xnwrJ.html
Hindiustan Times,"Brexit-scarred Theresa May steps down, leadership race on",world,2019-06-08,01:53:00,https://www.hindustantimes.com/world-news/brexit-scarred-theresa-may-steps-down-leadership-race-on/story-Vz7sGVpyTCcZBUl7vgdeOO.html
Hindiustan Times,Kremlin says it won’t change behaviour to improve ties with Britain,world,2019-06-07,14:50:00,https://www.hindustantimes.com/world-news/kremlin-says-it-won-t-change-behaviour-to-improve-ties-with-britain/story-3l4OIy6gxysqNhW6MSxUOO.html
Hindiustan Times,"China’s influence creeps up on foreign media: Report. Rubbish, says Beijing ",world,2019-06-07,14:06:00,https://www.hindustantimes.com/world-news/china-s-influence-creeps-up-on-foreign-media-report-rubbish-says-beijing/story-1wfvEXMjsHBGvyZQrA0OLN.html
