Source,Heading,Category,Date,Time,URL
Times of India,Donald Trump says Xi meeting at G20 'scheduled',us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/donald-trump-says-xi-meeting-at-g20-scheduled/articleshow/69728007.cms
Times of India,"25 years after murders, OJ says 'Life is fine'",us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/25-years-after-murders-oj-says-life-is-fine/articleshow/69723363.cms
Times of India,Why hotel toiletry bottles could be on their way out,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/why-hotel-toiletry-bottles-could-be-on-their-way-out/articleshow/69720374.cms
Times of India,Trump defends immigration deal with Mexico,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/trump-defends-immigration-deal-with-mexico/articleshow/69720262.cms
Times of India,"Google walkout organiser quits, citing ‘retaliation’",us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/google-walkout-organiser-quits-citing-retaliation/articleshow/69718514.cms
Times of India,US school may be torn down to shed shooting baggage,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/us-school-may-be-torn-down-to-shed-shooting-baggage/articleshow/69718488.cms
Times of India,China warns tech giants to defy Trump ban,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/china-warns-tech-giants-to-defy-trump-ban/articleshow/69718471.cms
Times of India,Panic at Washington pride parade sends people running,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/panic-at-washington-pride-parade-sends-people-running/articleshow/69712177.cms
Times of India,US Jewish community looks to defend itself as attacks rise,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/us-jewish-community-looks-to-defend-itself-as-attacks-rise/articleshow/69710524.cms
Times of India,Trump is confident Mexico will enforce new immigration deal,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/trump-is-confident-mexico-will-enforce-new-immigration-deal/articleshow/69710082.cms
Times of India,California utility proactively cuts power because of weather,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/california-utility-proactively-cuts-power-because-of-weather/articleshow/69709697.cms
Times of India,Trump says tariffs on Mexico suspended indefinitely,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/trump-says-tariffs-on-mexico-suspended-indefinitely/articleshow/69703815.cms
Times of India,"Indian-Americans hail decision to let Sikh-American airman to keep turban, beard on active duty",us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/indian-americans-hail-decision-to-let-sikh-american-airman-to-keep-turban-beard-on-active-duty/articleshow/69700957.cms
Times of India,Trump says Nasa should stop talking about going back to the Moon,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/trump-says-nasa-should-stop-talking-about-going-back-to-the-moon/articleshow/69700515.cms
Times of India,Bangladeshi immigrant charged with planning Times Square attack,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/bangladeshi-immigrant-charged-with-planning-times-square-attack/articleshow/69699298.cms
Times of India,Turkey gets culled from US defence program in warning sign for India,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/turkey-gets-culled-from-us-defence-program-in-warning-sign-for-india/articleshow/69699113.cms
Times of India,Mexico promises 'unprecedented steps' to curb migration in US deal,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/mexico-promises-unprecedented-steps-to-curb-migration-in-us-deal/articleshow/69698715.cms
Times of India,"US, Russia ships nearly collide in Philippine Sea",us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/us-russia-ships-nearly-collide-in-philippine-sea/articleshow/69698178.cms
Times of India,US air force allows turban for Sikh man,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/us-air-force-allows-turban-for-sikh-man/articleshow/69698081.cms
Times of India,"Xi, Putin condemn US dominance as tensions with Trump grow",us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/xi-putin-condemn-us-dominance-as-tensions-with-trump-grow/articleshow/69698029.cms
Times of India,"Trump says US, Mexico reach agreement on migration and tariffs 'indefinitely suspended'",us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/trump-says-us-mexico-reach-agreement-on-migration-and-tariffs-indefinitely-suspended/articleshow/69697981.cms
Times of India,Bill: Ease green card cap on STEM students,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/bill-ease-green-card-cap-on-stem-students/articleshow/69697860.cms
Times of India,US hits Iran petrochemical group PGPIC with sanctions,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/us-hits-iran-petrochemical-group-pgpic-with-sanctions/articleshow/69694474.cms
Times of India,Nasa to open International Space Station to tourists from 2020,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/nasa-to-open-international-space-station-to-tourists-from-2020/articleshow/69694408.cms
Times of India,"Russia, US trade charges after near naval collision",us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/russia-us-trade-charges-after-near-naval-collision/articleshow/69691019.cms
