Source,Heading,Category,Date,Time,URL
CNN,A black Boeing employee found a noose over his desk. Now he's suing the company,us,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/us/boeing-noose-lawsuit/index.html
CNN,4 dead of gunshots in Iowa home,us,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/us/iowa-west-des-moines-four-dead/index.html
CNN,Phoenix mayor apologizes to family who was detained,us,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/us/phoenix-police-misconduct-shoplift/index.html
CNN,Will you take in a dead gray whale?,us,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/us/dead-gray-whales-washington/index.html
CNN,"Divers collect 1,500 pounds of trash at a Florida beach",us,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/us/divers-largest-underwater-cleanup-record-trnd/index.html
CNN,1 killed at graduation party shooting in Philadelphia,us,2019-06-17,15:00,https://edition.cnn.com/videos/us/2019/06/17/philadelphia-shooting-graduation-party-earlystart-briggs-vpx.cnn
CNN,"Man who police say was killed after attacking an off-duty officer in Costco was a 'gentle giant,' cousin says",us,2019-06-17,15:00,https://edition.cnn.com/2019/06/17/us/costco-shooting-questions/index.html
CNN,A suspected intruder who was hit in the head with a machete will make his first court appearance Monday,us,2019-06-17,15:00,https://edition.cnn.com/2019/06/17/us/north-carolina-machete-home-invasion/index.html
CNN,Police: Woman pushed dog into lake and let it drown,us,2019-06-17,15:00,https://edition.cnn.com/videos/us/2019/06/17/police-woman-pushed-dog-in-lake-merrimack-pkg-vpx.wmur
CNN,Suspected home intruder who got hit with a machete and escaped from the hospital has been caught,us,2019-06-17,15:00,https://edition.cnn.com/2019/06/15/us/north-carolina-boy-stops-home-invasion/index.html
CNN,New York subways celebrate Pride Month with new 'Pride Trains' and MetroCards,us,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/us/nyc-subway-pride-trains-trnd/index.html
CNN,"633 divers collect over 1,500 pounds of trash at a Florida beach -- and set a world record",us,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/us/divers-largest-underwater-cleanup-record-trnd/index.html
