Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
CNN, The schoolgirls fighting against child marriage in Nigeria,africa,2019-06-11,01:10,https://edition.cnn.com/2019/05/25/africa/nigerian-girls-child-marriage-campaign-intl/index.html,0,0.22
CNN, Time is running out for Namibias Wild Horses,africa,2019-06-11,01:10,https://edition.cnn.com/videos/world/2019/05/29/inside-africa-namibia-wild-horses-environmentalists-vision.cnn,0,0.2
CNN, Social media blocked as Liberians protest,africa,2019-06-11,01:10,https://edition.cnn.com/2019/06/07/africa/liberia-protests-george-weah/index.html,0,0.2
CNN, Former Nigerian dictator 267m seized from foreign account,africa,2019-06-11,01:10,https://edition.cnn.com/2019/06/05/africa/nigeria-abacha-stolen-loot-jersey-intl/index.html,0,0.2
CNN, The iced tea harnessing South Africas miracle plant,africa,2019-06-11,01:10,https://edition.cnn.com/videos/business/2019/05/31/bos-iced-tea-itm-south-africa-lon-orig.cnn-business,1,0.56
CNN, Why lesbian romance film was banned in Kenya,africa,2019-06-11,01:10,https://edition.cnn.com/style/article/wanuri-kahiu-kenya-lgbtq-rafiki-intl/index.html,2,0.3
CNN, Can Kenyas China built railway line revive its economy,africa,2019-06-11,01:10,https://edition.cnn.com/2019/05/20/china/china-kenya-sgr-rail-africa-intl/index.html,2,0.27
CNN, Kenyas best food is a kaleidoscope of flavors,africa,2019-06-11,01:10,https://edition.cnn.com/travel/article/kenyan-food-dishes/index.html,2,0.3
CNN, 20 best things to do in Kenya,africa,2019-06-11,01:10,https://edition.cnn.com/travel/article/kenya-things-to-do/index.html,2,0.32
CNN, Ethiopias garment workers are the least paid in the world,africa,2019-06-11,01:10,https://edition.cnn.com/2019/05/11/africa/ethiopia-garment-workers-lowest-paid-intl/index.html,3,0.33
CNN, Meet one of the most inspiring women in the world,africa,2019-06-11,01:10,https://edition.cnn.com/2019/05/09/africa/tererai-trent-most-inspiring-woman-intl/index.html,3,0.28
CNN, Turning an African superpower into a world champion,africa,2019-06-11,01:10,https://edition.cnn.com/2019/05/29/football/nigeria-super-falcons-thomas-dennerby-asisat-oshoala-womens-world-cup-spt-intl/index.html,3,0.37
CNN, Why the giant of Africa still struggles with extreme poverty,africa,2019-06-11,01:10,https://edition.cnn.com/videos/world/2019/02/14/nigeria-2019-explainer-oil-economy-poverty-lon-orig.cnn,4,0.29
CNN, How Chinas streaming app beat Spotify and Apple in Africa,africa,2019-06-11,01:10,https://edition.cnn.com/2019/06/05/africa/boomplay-music-africa-intl/index.html,4,0.29
CNN, Netflix to launch all girl superhero animation series from Africa,africa,2019-06-11,01:10,https://edition.cnn.com/2019/04/20/africa/netflix-first-african-animated-series-intl/index.html,4,0.27
CNN, Why global tech giants are investing in Africa,africa,2019-06-11,01:10,https://edition.cnn.com/2019/05/17/africa/tech-giants-in-africa-intl/index.html,4,0.32
CNN, Photos capture rare Elephant Queen,africa,2019-06-11,01:10,https://edition.cnn.com/travel/article/rare-elephant-pictures-kenya/index.html,5,0.38
CNN, Botswanas return to elephant hunting wont solve any problems ex President says,africa,2019-06-11,01:10,https://edition.cnn.com/2019/06/02/africa/botswana-president-hunting-ban-intl/index.html,5,0.35
CNN, African country with the most elephants ends hunting ban,africa,2019-06-11,01:10,https://edition.cnn.com/videos/world/2019/05/29/elephant-hunting-botswana-newday-mckenzie-pkg-vpx.cnn,5,0.36
