Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
CNN, Fire burns US Embassy entrance in Honduras amid privatization protests,americas,2019-06-11,00:10,/2019/05/31/americas/us-embassy-honduras-fire/index.html,0,1.0
CNN, Crowd beat up suspect in shooting of Red Sox legend David Ortiz before handing him to authorities police say,americas,2019-06-11,00:10,/2019/06/09/americas/mlb-david-ortiz-shot-dominican-republic/index.html,1,1.0
CNN, 3 myths about Mexico and migration debunked,americas,2019-06-11,00:10,/2019/06/05/americas/mexico-migration-myths/index.html,2,0.54
CNN, Video purportedly shows moment David Ortiz was shot,americas,2019-06-11,00:10,/videos/world/2019/06/10/david-ortiz-shooting-surveillance-video-vpx.cnn,3,0.63
CNN, 55 inmates killed in spate of prison riots in Brazil,americas,2019-06-11,00:10,/2019/05/27/americas/brazil-prison-deaths-intl/index.html,4,1.0
CNN, Draw secures Argentina its first point in Womens World Cup history,americas,2019-06-11,00:10,/2019/06/10/football/womens-world-cup-day-four-highlights-spt-intl/index.html,5,0.36
CNN, Photos of abandoned sacred places around the world,americas,2019-06-11,00:10,/travel/gallery/abandoned-sacred-places-photos/index.html,5,0.39
CNN, The 27 most dubious lines from Donalds Trumps CNBC phone interview,americas,2019-06-11,00:10,/2019/06/10/politics/donald-trump-cnbc-tariffs-china-mexico/index.html,6,1.0
CNN, Honduran president confirms he was investigated by the DEA,americas,2019-06-11,00:10,/2019/05/31/americas/honduras-juan-orlando-hernandez-dea-intl/index.html,7,1.0
CNN, Guatemalas amazing Tikal ruins,americas,2019-06-11,00:10,/travel/gallery/tikal-guatemala-ruins-photos/index.html,8,1.0
CNN, Man dies on plane after swallowing 246 packets of cocaine,americas,2019-06-11,00:10,/2019/05/28/americas/mexico-cocaine-plane-death-scli-intl/index.html,9,1.0
CNN, Venezuela plans to reopen borders with Colombia,americas,2019-06-11,00:10,/2019/06/07/americas/venezuela-maduro-colombia-border/index.html,10,0.5
CNN, Cuba travel restrictions What you need to know,americas,2019-06-11,00:10,/travel/article/cuba-travel-restrictions-what-to-know/index.html,11,1.0
CNN, Breakfast around the globe,americas,2019-06-11,00:10,/travel/gallery/breakfast-around-the-globe-photos/index.html,12,1.0
CNN, Thousands of killed or missing Indigenous women and girls are victims of a Canadian genocide report says,americas,2019-06-11,00:10,/2019/06/03/americas/canadian-genocide-indigenous-women-and-girls-report/index.html,13,1.0
CNN, Fmr Ambassador Mexico is Trumps Piñata,americas,2019-06-11,00:10,/videos/world/2019/06/10/amanpour-arturo-sarukhan-us-mexico.cnn,14,0.54
CNN, CNN en Español,americas,2019-06-11,00:10,http://cnnespanol.cnn.com/?hpt=header_edition-picker,15,1.0
CNN, Justin Trudeau has some things to say about Americas abortion debate,americas,2019-06-11,00:10,/2019/05/29/americas/trudeau-mike-pence-abortion-intl/index.html,16,1.0
CNN, Trump Tariffs on Mexican imports indefinitely suspended,americas,2019-06-11,00:10,/videos/politics/2019/06/08/trump-mexico-agreement-tariff-deadline-ac360-vpx.cnn,17,1.0
