Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
CNN, Im not backing down this time Chinese dissident artist Badiucao reveals his identity,australia,2019-06-11,01:10,https://edition.cnn.com/style/article/badiucao-documentary-reveals-identity-intl/index.html,0,0.5
CNN, Lisa Singh pushes political boundaries for Indians in Australia,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/20/india/india-diaspora-series-lisa-singh-intl/index.html,1,0.52
CNN, Australian helicopters targeted by lasers in South China Sea,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/28/asia/australia-helicopters-lasers-south-china-sea-intl/index.html,2,0.61
CNN, Australia swears in its first aboriginal minister,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/29/australia/australia-ken-wyatt-first-aboriginal-minster-trnd/index.html,3,0.25
CNN, Australia meth bust shipment of speakers used to hide largest onshore seizure,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/06/asia/largest-meth-bust-onshore-australia-trnd/index.html,3,0.24
CNN, Australias egg boy donates 70000 to Christchurch victims fund,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/28/australia/australia-egg-boy-christchurch-intl/index.html,3,0.21
CNN, A painter has revealed an 80 foot mural of New Zealands prime minister comforting woman after mosque attacks,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/22/world/jacinda-ardern-mural-australia-trnd/index.html,3,0.24
CNN, Winx Highlights from a golden career so far,australia,2019-06-11,01:10,https://edition.cnn.com/2018/10/25/sport/gallery/winx-career-longines-spt-intl/index.html,4,1.0
CNN, Australia reels from worst rampage killing in decades for a country thought to have solved this issue,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/05/australia/australia-darwin-gun-attack-intl/index.html,5,0.25
CNN, US intelligence partners wary of Barrs Russia review,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/30/politics/barr-intelligence-review-allies-reaction/index.html,5,0.2
CNN, Former Pakistani President Asif Ali Zardari arrested on corruption charges,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/10/asia/asif-ali-zardari-arrested-intl/index.html,5,0.2
CNN, Cristiane Brazil striker makes Womens World Cup history in win over Jamaica,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/09/football/australia-italy-england-scotland-womens-world-cup-spt-int/index.html,6,0.59
CNN, Miss Phillipines wins Miss Universe,australia,2019-06-11,01:10,https://edition.cnn.com/style/gallery/miss-universe-2018/index.html,7,0.5
CNN, Qantas seeks final airplane bids for London Sydney nonstop service,australia,2019-06-11,01:10,https://edition.cnn.com/travel/article/qantas-london-sydney-airplane/index.html,8,0.36
CNN, Cardinal Pells lawyers seek to free convicted sex attacker on appeal,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/04/asia/australia-pell-appeal-intl/index.html,8,0.35
CNN, Chinese warships arrive in Sydney Harbor on Australian stopover,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/03/australia/chinese-warships-australia-intl/index.html,8,0.38
CNN, 19 best places to travel for the summer of 2019,australia,2019-06-11,01:10,https://edition.cnn.com/travel/article/summer-travel-places-2019/index.html,9,1.0
CNN, Dinosaur bones shimmering with opal reveal a new species,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/04/world/dinosaur-species-opal-trnd-scn/index.html,10,0.53
CNN, Infants too young for vaccination infected in Australian measles outbreak,australia,2019-06-11,01:10,https://edition.cnn.com/2019/04/03/health/new-south-wales-infant-measles-cases-intl/index.html,11,1.0
CNN, Potential antidote discovered for worlds most venomous sea creature the box jellyfish,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/01/health/box-jellyfish-antidote-scn-intl/index.html,12,0.35
CNN, World Rugby Sevens Series 2018 19 The season so far,australia,2019-06-11,01:10,https://edition.cnn.com/2018/12/02/sport/gallery/rugby-sevens-story-of-the-season-2018-19-spt-intl/index.html,12,0.37
CNN, Israel Folau fights unlawful termination of Australia rugby contract,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/06/sport/israel-folau-legal-court-australia-rugby-spt-intl/index.html,12,0.36
CNN, Join a rideshare to the Great Barrier Reef with scUber,australia,2019-06-11,01:10,https://edition.cnn.com/travel/article/uber-launches-scuber-australia/index.html,13,1.0
CNN, Why China is not celebrating the unexpected Australian election result,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/20/opinions/china-not-celebrating-australian-election-intl/index.html,14,0.31
CNN, These North Korean defectors were sold into China as cybersex slaves Then they escaped,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/09/asia/north-korea-defectors-intl-hnk/index.html,14,0.26
CNN, Australian police deny waging war on the media but more raids are possible,australia,2019-06-11,01:10,https://edition.cnn.com/2019/06/06/media/police-raid-abc-australia/index.html,14,0.28
CNN, Refugees attempted suicide after Australias election activists say,australia,2019-06-11,01:10,https://edition.cnn.com/2019/05/21/asia/manus-island-suicides-scli-intl/index.html,14,0.27
CNN, Why not wreck the planet It could save your political skin,australia,2019-06-11,01:10,https://edition.cnn.com/2018/08/20/opinions/populist-skeptics-science-opinion-intl/index.html,15,0.5
