Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Swedish Assange hearing to decide on extradition request,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/swedish-assange-hearing-to-decide-on-extradition-request/articleshow/69629831.cms,0,0.23
Times of India, Germany probes mysterious death of Merkel party politician,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/germany-probes-mysterious-death-of-merkel-party-politician/articleshow/69635803.cms,0,0.18
CNN, Boris Johnson favorite to be Britains next PM wins court challenge over alleged Brexit lies,europe,2019-06-11,00:10,/2019/06/07/uk/boris-johnson-misconduct-trial-gbr-intl/index.html,0,0.2
CNN, Chinese air passengers to rule skies by 2040,europe,2019-06-11,00:10,/travel/article/china-air-passengers/index.html,0,0.19
Times of India, Trump Baby blimp to fly in London for US Presidents visit,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/trump-baby-blimp-to-fly-in-london-for-us-presidents-visit/articleshow/69623021.cms,1,0.16
Times of India, Pope Francis wants first papal visit to Iraq,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/pope-francis-wants-first-papal-visit-to-iraq/articleshow/69725189.cms,1,0.16
Times of India, Pope beatifies seven Communist era bishops in Romania,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/pope-beatifies-seven-communist-era-bishops-in-romania/articleshow/69620365.cms,1,0.17
Times of India, Pope laments current culture of insults church propaganda,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/pope-laments-current-culture-of-insults-church-propaganda/articleshow/69712772.cms,1,0.16
CNN, Germany wants access to citizens data Thats sparked fears of a sinister past,europe,2019-06-11,00:10,/2019/06/09/europe/germany-privacy-fears-ger-intl/index.html,1,0.18
Times of India, Pope Francis to receive Putin on July 4 Vatican,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/pope-francis-to-receive-putin-on-july-4-vatican/articleshow/69673998.cms,1,0.2
Times of India, Macron and Trump Frenemies in open disagreement,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/macron-and-trump-frenemies-in-open-disagreement/articleshow/69670542.cms,2,0.16
CNN, Newly restored historic sailing ship crashes and sinks days after relaunch,europe,2019-06-11,00:10,/2019/06/10/europe/hamburg-boat-crash-scli-grm-intl/index.html,2,0.16
CNN, D Day What happened during the Normandy landings,europe,2019-06-11,00:10,/2019/06/05/europe/d-day-75-anniversary-explainer-intl-gbr-scli/index.html,2,0.17
Times of India, World leaders mark 75 years since D Day on Normandys beaches,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/world-leaders-mark-75-years-since-d-day-on-normandys-beaches/articleshow/69670772.cms,2,0.2
CNN, Putin and Xi show a unified front against Trump in St Petersburg,europe,2019-06-11,00:10,/2019/06/08/europe/putin-xi-st-petersburg-intl/index.html,2,0.13
Times of India, Much to disagree on as Trump Macron meet on D Day,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/much-to-disagree-on-as-trump-macron-meet-on-d-day/articleshow/69672905.cms,2,0.16
CNN, Russian journalist Ivan Golunov put under house arrest,europe,2019-06-11,00:10,/2019/06/09/europe/ivan-golunov-russia-house-arrest-intl/index.html,3,0.31
Times of India, Russian journalist charged with bid to deal large amount of drugs Lawyer,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/russian-journalist-charged-with-bid-to-deal-large-amount-of-drugs-lawyer/articleshow/69703117.cms,3,0.33
Times of India, Prominent investigative journalist detained in Russia,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/prominent-investigative-journalist-detained-in-russia/articleshow/69692999.cms,3,0.32
Times of India, Russian newspapers show solidarity with detained journalist,europe,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/europe/russian-newspapers-show-solidarity-with-detained-journalist/articleshow/69723983.cms,3,0.37
