Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Found at world ’ s deepest point A plastic bag,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/found-at-worlds-deepest-point-a-plastic-bag/articleshow/69334801.cms,0,0.18
Times of India, Trump and Melanias wedding cake up for sale,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/trump-and-melanias-wedding-cake-up-for-sale/articleshow/61701945.cms,0,0.17
Times of India, French spiderman climbs Londons 230 metre Heron Tower without ropes,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/french-spiderman-climbs-londons-230-metre-heron-tower-without-ropes/articleshow/66366703.cms,0,0.17
Times of India, Paddleboarder guilty of assaulting surfer in wave dispute,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/paddleboarder-guilty-of-assaulting-surfer-in-wave-dispute/articleshow/68950737.cms,1,0.32
Times of India, Pakistan boy in protective custody for attempting to operate self made flying machine,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/pakistan-boy-in-protective-custody-for-attempting-to-operate-self-made-flying-machine/articleshow/68674335.cms,1,0.3
Times of India, Troopers Teen arrested for taking control of Alaska flight,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/troopers-teen-arrested-for-taking-control-of-alaska-flight/articleshow/67963699.cms,1,0.32
Times of India, Pak boy arrested on charges of sexually assaulting hen,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/pak-boy-arrested-on-charges-of-sexually-assaulting-hen/articleshow/61642439.cms,1,0.34
Times of India, Dogs mouth lick to communicate with angry humans,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/dogs-mouth-lick-to-communicate-with-angry-humans/articleshow/61851265.cms,2,0.33
Times of India, Ohio homeowner burns down garage in attempt to kill weeds,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/ohio-homeowner-burns-down-garage-in-attempt-to-kill-weeds/articleshow/64307344.cms,2,0.36
Times of India, British tourists veg sausage hunt in India among UKs 2018 quirky requests list,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/british-tourists-veg-sausage-hunt-in-india-among-uks-2018-quirky-requests-list/articleshow/67310767.cms,3,0.33
Times of India, Robot fired after putting off customers at UK store,"mad, mad world",2019-06-11,01:09,https://timesofindia.indiatimes.com/world/mad-mad-world/robot-fired-after-putting-off-customers-at-uk-store/articleshow/62624018.cms,3,0.38
