Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
CNN, 17 killed in Dubai after bus crashed into overhead road sign,middle east,2019-06-11,00:10,/2019/06/07/middleeast/uae-dubai-bus-crash-intl/index.html,0,0.5
Times of India, UAE probe of tanker attacks points to state actor,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/uae-probe-of-tanker-attacks-points-to-state-actor/articleshow/69684525.cms,1,0.39
Times of India, Iran almost certainly behind ship attacks off UAE John Bolton,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/iran-almost-certainly-behind-ship-attacks-off-uae-john-bolton/articleshow/69556016.cms,1,0.26
CNN, Initial findings on Gulf tanker attacks point to a state actor but Iran not mentioned by name,middle east,2019-06-11,00:10,/2019/06/06/middleeast/uae-saudi-oil-tankers-intl/index.html,1,0.32
Times of India, Two years of crisis in the Gulf Qatar seeking ways out of isolation,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/two-years-of-crisis-in-the-gulf-qatar-seeking-ways-out-of-isolation/articleshow/69629446.cms,1,0.27
Times of India, Iran to free Lebanese jailed for US spying Beirut,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/iran-to-free-lebanese-jailed-for-us-spying-beirut/articleshow/69653110.cms,2,0.24
Times of India, Iran president rules out talks until US acts normal,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/iran-president-rules-out-talks-until-us-acts-normal/articleshow/69634195.cms,2,0.2
Times of India, Top Iran diplomat warns US it can not expect to stay safe,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/top-iran-diplomat-warns-us-it-cannot-expect-to-stay-safe/articleshow/69726767.cms,2,0.18
Times of India, Man on a mediation mission Japans Abe heads to Iran,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/man-on-a-mediation-mission-japans-abe-heads-to-iran/articleshow/69720506.cms,2,0.16
Times of India, Iran rules out talks unless US changes behaviour,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/iran-rules-out-talks-unless-us-changes-behaviour/articleshow/69623109.cms,2,0.19
Times of India, Jared Kushner suggests Palestinians not ready to govern themselves,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/jared-kushner-suggests-palestinians-not-ready-to-govern-themselves/articleshow/69631259.cms,3,0.36
CNN, Trump dances with danger in Middle East by deploying aircraft carrier and Kushners peace plan,middle east,2019-06-11,00:10,/2019/05/26/middleeast/trump-middle-east-iran-analysis-trump-intl/index.html,3,0.43
Times of India, Afghan official Suicide bombing kills 6 near Kabul academy,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/afghan-official-suicide-bombing-kills-6-near-kabul-academy/articleshow/69581916.cms,4,0.21
Times of India, Jihadists kill 11 regime forces in Syrias northwest monitor,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/jihadists-kill-11-regime-forces-in-syrias-northwest-monitor/articleshow/69680996.cms,4,0.26
CNN, Hezbollahs chief says a US strike against Iran will spur regional conflict leading American forces to be annihilated,middle east,2019-06-11,00:10,/2019/06/01/middleeast/hezbollah-us-strike-warning/index.html,4,0.2
Times of India, Car bombing kills 17 in Syrias Azaz Monitor,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/car-bombing-kills-17-in-syrias-azaz-monitor/articleshow/69627919.cms,4,0.18
Times of India, Saudi Arabia urges new Sudan talks after protest crackdown,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/saudi-arabia-urges-new-sudan-talks-after-protest-crackdown/articleshow/69664653.cms,5,1.0
Times of India, Iran says does not presently believe in mediation with US,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/iran-says-does-not-presently-believe-in-mediation-with-us/articleshow/69546147.cms,6,0.35
Times of India, Irans Khamenei says Tehran will not abandon its missile programme,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/irans-khamenei-says-tehran-will-not-abandon-its-missile-programme/articleshow/69653982.cms,6,0.29
Times of India, LuLu Group chairman is UAE ’ s first permanent expat resident,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/lulu-group-chairman-is-uaes-first-permanent-expat-resident/articleshow/69657685.cms,7,0.08
Times of India, No backtracking on S400 deal with Russia Erdogan,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/no-backtracking-on-s400-deal-with-russia-erdogan/articleshow/69645994.cms,7,0.07
Times of India, Iraq sentences all 11 French IS suspects to death,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/iraq-sentences-all-11-french-is-suspects-to-death/articleshow/69637543.cms,7,0.07
Times of India, Musharrafs health deteriorates rushed to hospital,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/musharrafs-health-deteriorates-rushed-to-hospital/articleshow/69586957.cms,7,0.08
Times of India, Iraq harvests go up in smoke but who lit the fires,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/iraq-harvests-go-up-in-smoke-but-who-lit-the-fires/articleshow/69686797.cms,7,0.08
Times of India, Iran rejects French idea of re opening nuclear talks,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/iran-rejects-french-idea-of-re-opening-nuclear-talks/articleshow/69696086.cms,7,0.08
CNN, 13 6B record breaking solar park rises from desert,middle east,2019-06-11,00:10,/style/article/mbr-solar-park-dubai-desert-intl/index.html,7,0.08
CNN, Iranian police arrest 30 people during yoga class news agency reports,middle east,2019-06-11,00:10,/2019/05/24/middleeast/thirty-arrested-during-yoga-class-in-iran-scli-intl/index.html,7,0.07
Times of India, UN atomic agency Iran in compliance with 2015 nuclear deal,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/un-atomic-agency-iran-in-compliance-with-2015-nuclear-deal/articleshow/69601391.cms,7,0.08
CNN, Heres what you need to know about Eid al Fitr one of Islams biggest holidays,middle east,2019-06-11,00:10,/2019/06/03/middleeast/eid-al-fitr-what-you-need-to-know/index.html,7,0.1
Times of India, Jerusalem Gay Pride draws thousands under high security,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/jerusalem-gay-pride-draws-thousands-under-high-security/articleshow/69680141.cms,8,0.29
CNN, Document hunters smuggled hundreds of thousands of government files out of Syria Heres how they did it,middle east,2019-06-11,00:10,/2019/05/28/middleeast/syria-war-crimes-investigators-cija-intl/index.html,8,0.35
CNN, Captured ISIS fighter says he helped imprison James Foley and Alan Henning,middle east,2019-06-11,00:10,/2019/05/28/middleeast/isis-alexanda-kotey-intl/index.html,8,0.25
CNN, Dubai and Saudi Arabia towers race to be worlds tallest,middle east,2019-06-11,00:10,/2016/12/14/architecture/tower-dubai-creek-tallest-skyscraper/index.html,9,0.18
Times of India, Drone attacks target Jizan airport in Saudi Arabia,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/drone-attacks-target-jizan-airport-in-saudi-arabia/articleshow/69709998.cms,9,0.2
CNN, Saudi Arabia united the Arab world against Iran That means conflict could be one step closer,middle east,2019-06-11,00:10,/2019/05/31/middleeast/saudi-arabia-iran-summit-mecca-intl/index.html,9,0.16
Times of India, Mecca summit supports Palestinians backs Saudi amid Iran tensions,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/mecca-summit-supports-palestinians-backs-saudi-amid-iran-tensions/articleshow/69607379.cms,9,0.18
Times of India, Two women six children from IS families repatriated to US Syria Kurds,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/two-women-six-children-from-is-families-repatriated-to-us-syria-kurds/articleshow/69664118.cms,10,0.33
CNN, Satellite images reveal strikes on Syrias Idlib province,middle east,2019-06-11,00:10,/2019/05/29/middleeast/idlib-bombing-slider-intl/index.html,10,0.42
Times of India, 260000 pray at Jerusalem mosque on final Friday of Ramdan,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/260000-pray-at-jerusalem-mosque-for-final-friday-prayers-of-ramdan/articleshow/69603896.cms,11,1.0
Times of India, Clashes erupt at flashpoint Jerusalem holy site,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/clashes-erupt-at-flashpoint-jerusalem-holy-site/articleshow/69621828.cms,12,1.0
Times of India, Israel to hold fresh polls as PM Netanyahu fails to form govt,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/israel-to-hold-fresh-election-as-prime-minister-netanyahu-fails-to-form-coalition-govt/articleshow/69582059.cms,13,0.45
CNN, Israel will hold new elections after Netanyahu fails to build coalition,middle east,2019-06-11,00:10,/2019/05/29/middleeast/israel-elections-netanyahu-coalition-fails/index.html,13,0.36
Times of India, Netanyahu could face election rematch after ballot he said he won,middle east,2019-06-11,00:09,https://timesofindia.indiatimes.com/world/middle-east/netanyahu-could-face-election-rematch-after-ballot-he-said-he-won/articleshow/69542447.cms,13,0.29
