Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, 14 lions on the loose in South Africa with nowhere to go,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/14-lions-on-the-loose-in-south-africa-with-nowhere-to-go/articleshow/69698603.cms,0,0.12
Times of India, Now there are honeymoon photographers,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/now-there-are-honeymoon-photographers/articleshow/69719612.cms,0,0.09
Times of India, Kazakhs hold first presidential vote without three decade strongman on ballot,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/kazakhs-hold-first-presidential-vote-without-three-decade-strongman-on-ballot/articleshow/69709713.cms,0,0.1
Times of India, Indonesia warns of further eruptions after volcano spews ash,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/indonesia-warns-of-further-eruptions-after-volcano-spews-ash/articleshow/69723501.cms,0,0.1
Times of India, Woman sues Tokyo medical schools over discrimination,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/woman-sues-tokyo-medical-schools-over-discrimination/articleshow/69662255.cms,0,0.09
Times of India, Nearly 100 killed 19 missing in central Mali village massacre,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/nearly-100-killed-19-missing-in-central-mali-village-massacre/articleshow/69729667.cms,0,0.11
Times of India, Nigerian ex dictators corrupt 267m seized in Jersey,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/nigerian-ex-dictators-corrupt-267m-seized-in-jersey/articleshow/69667851.cms,0,0.11
Times of India, Tokayev elected Kazakhstan president police disperse fresh protests,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/tokayev-elected-kazakhstan-president-police-disperse-fresh-protests/articleshow/69723588.cms,1,0.14
Times of India, Committee probing Easter attacks submits final report to Lankan President Maithripala Sirisena,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/committee-probing-easter-attacks-submits-final-report-to-lankan-president-sirisena/articleshow/69725973.cms,1,0.16
Times of India, Brazils Lula jailed to keep him from 2018 election Report,rest of world,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/rest-of-world/brazils-lula-jailed-to-keep-him-from-2018-election-report/articleshow/69722021.cms,1,0.15
