Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, PM Modi gets Samadhi Buddha Statue as gift from Lankan President Sirisena,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/pm-gets-samadhi-buddha-statue-as-gift-from-lankan-president-sirisena/articleshow/69712190.cms,0,0.25
Times of India, Bhutan gays celebrate after homosexuality decriminalised,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/bhutan-gays-celebrate-after-homosexuality-decriminalised/articleshow/69704900.cms,0,0.17
Times of India, Sri Lankan President warns against emergence of a Muslim Prabhakaran,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/sri-lankan-president-warns-against-emergence-of-a-muslim-prabhakaran/articleshow/69712922.cms,0,0.2
Times of India, Bangladesh airlines pilot flying to bring PM back home caught without passport at Qatar airport,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/bangladesh-airlines-pilot-flying-to-bring-pm-back-home-caught-without-passport-at-qatar-airport/articleshow/69689088.cms,1,0.3
Times of India, Hasina accuses Myanmar of defying promise over repatriation of Rohingyas,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/hasina-accuses-myanmar-of-defying-promise-over-repatriation-of-rohingyas/articleshow/69715935.cms,1,0.33
Times of India, Bangladesh PM Sheikh Hasina attacks Myanmar over Rohingya deadlock,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/bangladesh-pm-sheikh-hasina-attacks-myanmar-over-rohingya-deadlock/articleshow/69726708.cms,1,0.53
Times of India, Bangladesh police put on alert after second IS claimed blast,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/bangladesh-police-put-on-alert-after-second-is-claimed-blast/articleshow/69536483.cms,2,0.27
Times of India, IS claims responsibility for Bangladesh explosion,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/is-claims-responsibility-for-bangladesh-explosion/articleshow/69522001.cms,2,0.3
Times of India, Explosions in Nepals capital leave 3 dead 8 wounded,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/explosions-in-nepals-capital-leave-3-dead-8-wounded/articleshow/69508723.cms,2,0.36
Times of India, No Indian connection to Easter Sunday attacks Lanka prez,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/no-indian-connection-to-easter-sunday-attacks-lanka-prez/articleshow/69605568.cms,3,1.0
Times of India, Taliban leader indicates no ceasefire anytime soon,south asia,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/south-asia/taliban-leader-indicates-no-ceasefire-anytime-soon/articleshow/69610159.cms,4,0.53
