Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, 50 years on New York police apologize for Stonewall riots,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/50-years-on-new-york-police-apologize-for-stonewall-riots/articleshow/69685909.cms,0,0.14
CNN, Navarro Biden is giving me Jeb Bush acid reflux,us,2019-06-11,01:10,https://edition.cnn.com/videos/politics/2019/06/10/joe-biden-campaign-ana-navarro-newday-vpx.cnn,0,0.07
CNN, KMBCPost shows City Council candidate with gun,us,2019-06-11,01:10,https://edition.cnn.comhttps://www.kmbc.com/article/post-shows-city-council-candidate-in-menacing-pose-holding-a-gun/27821851,0,0.06
CNN, WXMIInfant had burns broken bones when she died,us,2019-06-11,01:10,https://edition.cnn.comhttps://fox17online.com/2019/06/08/two-children-killed-after-truck-rear-ends-carriage-in-branch-co/,0,0.08
CNN, KSWBWoman struck and killed by two police cruisers,us,2019-06-11,01:10,https://edition.cnn.comhttps://fox5sandiego.com/2019/06/09/woman-struck-and-killed-by-two-police-cruisers-in-hillcrest/,0,0.06
CNN, Helicopter crashes into New York City building,us,2019-06-11,01:10,https://edition.cnn.com/us/live-news/manhattan-helicopter-crash-june-2019/index.html,0,0.07
Times of India, Lack of abortion access troubles Guams 1st female governor,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/lack-of-abortion-access-troubles-guams-1st-female-governor/articleshow/69688997.cms,0,0.07
Times of India, Pramila Jayapal is first South Asian American woman to chair US House,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/pramila-jayapal-is-1st-south-asian-american-woman-to-chair-us-house/articleshow/69647465.cms,0,0.06
CNN, Police Man plotted to denotate explosives in Times Square,us,2019-06-11,01:10,https://edition.cnn.com/videos/us/2019/06/07/suspect-arrested-for-allegedly-planning-to-detonate-explosives-times-square-gingras-vpx.cnn/video/playlists/top-news-videos/,0,0.06
CNN, Do this before your next mortgage payment its genius,us,2019-06-11,01:10,https://edition.cnn.comhttps://ck.lendingtree.com/?a=343&c=2920&p=r&s1=sections&mtaid=02C68&ctype=sectionfronts&cmethod=flexoption&ccreative=dothismortpaygenius_nicehouse&placement_name=sectionfronts&ad_headline=dothismortpaygenius&ad_image=nicehouse,0,0.07
Times of India, US school may be torn down to shed shooting baggage,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/us-school-may-be-torn-down-to-shed-shooting-baggage/articleshow/69718488.cms,0,0.06
CNN, Former state senator found dead in his Oklahoma home,us,2019-06-11,01:10,https://edition.cnn.com/videos/us/2019/06/08/former-senator-jonathan-nichols-dead-pkg-vpx.kfor/video/playlists/top-news-videos/,0,0.06
CNN, KCNCOrganization educates immigrants suffering abuse,us,2019-06-11,01:10,https://edition.cnn.comhttps://denver.cbslocal.com/2019/06/09/latina-safe-house-immigrants/,0,0.08
CNN, KDKAVenomous animals usually in the open sea spotted in the East Coast,us,2019-06-11,01:10,https://edition.cnn.comhttps://pittsburgh.cbslocal.com/2019/06/09/man-of-war-south-carolina/,1,0.05
CNN, CNN Iowa poll Warren Buttigieg show strength and five more key takeaways,us,2019-06-11,01:10,https://edition.cnn.com/2019/06/10/politics/iowa-poll-takeaways/index.html,1,0.05
Times of India, US Jewish community looks to defend itself as attacks rise,us,2019-06-11,01:09,https://timesofindia.indiatimes.com/world/us/us-jewish-community-looks-to-defend-itself-as-attacks-rise/articleshow/69710524.cms,1,0.05
