Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Lesbian couple beaten up in London for refusing to kiss before group of menA lesbian couple was mercilessly beaten up on a London bus when they refused to perform a kiss in front of a gang of men,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/london-lesbian-couple-beaten-up-1544677-2019-06-08,0,0.51
India Today, Dubai bus accident Formalities in process to repatriate bodies of 12 Indians killedThe bus belonging to the Omani bus transport company Mwasalat carrying 31 passengers crashed into a height barrier that cut the left side of the bus and killed passengers sitting on that side,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/dubai-bus-accident-formalities-in-process-to-repatriate-bodies-of-12-indians-killed-1544755-2019-06-08,0,0.43
Hindiustan Times, UK PM race Sajid Javid gains ire over Boris Johnson ’ s threat to EU,world,2019-06-10,00:51:00,https://www.hindustantimes.com/india-news/uk-pm-race-sajid-javid-gains-ire-over-boris-threat-to-eu/story-jEuLGVrGxuJJNDHBpejl3H.html,1,0.22
Indian Express, Beyond Brexit what are UK leadership candidates ’ priorities,world,2019-06-10,16:32:12,https://indianexpress.com/article/world/factbox-brexit-uk-leadership-candidates-priorities-boris-johnson-jeremy-hunt-andrew-leadsom-michael-gove-sajid-javid-dominic-raab-rory-stewart-5773499/,1,0.19
Hindiustan Times, UK flags concern over rights abuse in Pakistan cool on India,world,2019-06-08,09:53:00,https://www.hindustantimes.com/world-news/uk-flags-concern-over-rights-in-pakistan-cool-on-india/story-N21rogPJLMGZjSL85otJIP.html,1,0.21
India Today, German nurse who murdered 87 patients given life sentenceNiels Hoegel liked to bring about cardiac arrests in his patients by injecting them with overdoses of heart medication and other drugs because he enjoyed the feeling of being able to resuscitate them,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/german-nurse-who-murdered-87-patients-given-life-sentence-1544008-2019-06-06,1,0.21
Indian Express, Kazakhstan After 28 years of Nazarbayev ’ s rule Kassym Jomart Tokayev becomes new President,world,2019-06-10,15:25:56,https://indianexpress.com/article/world/kazakhstan-after-28-years-of-strongman-nazarbayevs-rule-kassym-jomart-tokayev-becomes-new-president-5773377/,2,0.3
Hindiustan Times, Ken Cuccinelli named new head of USCIS body overseeing H 1Bs visa programme,world,2019-06-10,23:39:00,https://www.hindustantimes.com/world-news/ken-cuccinelli-named-new-head-of-uscis-body-overseeing-h-1bs-visa-programme/story-xHTiLF5QhHuqxerIMBBkfM.html,2,0.29
India Today, Nepal waits for relatives to claim bodies recovered from Everest during cleanliness driveThe corpses retrieved as part of a clean up of the worlds tallest mountain Mt Everest lie unclaimed in a hospital morgue in Nepals capital Kathmandu,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/nepal-waits-for-relatives-to-claim-bodies-recovered-everest-cleanliness-drive-1544058-2019-06-06,2,0.29
Hindiustan Times, Iran foreign minister warns US it can not ‘ expect to stay safe ’ after economic war against Tehran,world,2019-06-10,17:57:00,https://www.hindustantimes.com/world-news/iran-foreign-minister-warns-us-it-cannot-expect-to-stay-safe-after-economic-war-against-tehran/story-xawENnYubGatx66GVkEVOL.html,3,0.36
Indian Express, China stays silent on G20 Xi Trump meeting but says door open for talks,world,2019-06-10,18:02:33,https://indianexpress.com/article/world/china-stays-silent-on-g20-xi-trump-meeting-but-says-door-open-for-talks-5773450/,3,0.2
Indian Express, IAEA chief worried about rising tension over Iran nuclear issue,world,2019-06-10,17:37:45,https://indianexpress.com/article/world/iaea-chief-worried-about-rising-tension-over-iran-nuclear-issue/,3,0.23
Hindiustan Times, German minister to meet Iran ’ s Rouhani in bid to save nuclear pact,world,2019-06-10,00:48:00,https://www.hindustantimes.com/world-news/german-minister-to-meet-iran-s-rouhani-in-bid-to-save-nuclear-pact/story-TeJe1ZnDFZSLGuoba7kxwO.html,3,0.28
India Today, Trump blames India China for not doing enough on climate changeBlaming India and other countries for justifying Americas withdrawal from the landmark Paris climate change deal in 2017 Trump said he believes that there is a change in weather and I think it changes both ways,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/donald-trump-blames-india-china-for-not-doing-enough-on-climate-change-1544257-2019-06-07,4,0.12
India Today, Islamic State expands reach in Afghanistan threatening WestAccording to US and Afghan security officials he group is expanding its footprint recruiting new fighters and plotting attacks on the United States and other western countries,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/islamic-state-expands-reach-in-afghanistan-threatening-west-1546188-2019-06-10,4,0.13
India Today, Donald Trump says US Mexico reach agreement to prevent tariffUS President Donald Trump said that he has suspended plans to impose tariffs on Mexico tweeting that the country “ has agreed to take strong measures ” to stem the flow of Central American migrants into the United States,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/donald-trump-us-mexico-agreement-prevent-tariff-1544678-2019-06-08,4,0.14
Hindiustan Times, Amid trade war with US China ’ s Xi Jinping calls Donald Trump his friend,world,2019-06-07,20:50:00,https://www.hindustantimes.com/world-news/amid-trade-war-with-us-china-s-xi-jinping-calls-donald-trump-his-friend/story-lMpxLdMx4BIk23CtEct5ZK.html,4,0.13
Hindiustan Times, Donald Trump defends Mexico trade tariff deal even as criticism continues,world,2019-06-10,13:21:00,https://www.hindustantimes.com/world-news/donald-trump-defends-mexico-trade-tariff-deal-even-as-criticism-continues/story-5ZycoqQQgsqBIUTO9We7nN.html,4,0.16
Hindiustan Times, Kremlin says it won ’ t change behaviour to improve ties with Britain,world,2019-06-07,14:50:00,https://www.hindustantimes.com/world-news/kremlin-says-it-won-t-change-behaviour-to-improve-ties-with-britain/story-3l4OIy6gxysqNhW6MSxUOO.html,4,0.14
India Today, Theresa May steps down as party chief igniting leadership raceTheresa May announced she would step down last month after failing to deliver Britains departure from the European Union on time deepening a political crisis in a divided country struggling to move on from a 2016 referendum on Brexit,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/theresa-may-steps-down-as-party-chief-igniting-leadership-race-1544674-2019-06-08,4,0.12
Hindiustan Times, Hundreds arrested as Kazakhstan elects first new leader in decades,world,2019-06-09,20:26:00,https://www.hindustantimes.com/world-news/hundreds-arrested-as-kazakhstan-elect-first-new-leader-in-decades/story-5jGGeKb0h6y0sVymDIavyN.html,5,0.23
Hindiustan Times, Former Pakistan president Asif Ali Zardari arrested by anti corruption agency,world,2019-06-10,18:19:00,https://www.hindustantimes.com/world-news/pak-court-rejects-former-president-asif-ali-zardari-s-bail-request-after-money-laundering-case/story-pmejtalpPhlrMQBXk9FwiK.html,5,0.25
Hindiustan Times, Pak ex president Asif Ali Zardari arrested in bogus accounts case,world,2019-06-10,22:06:00,https://www.hindustantimes.com/world-news/pak-ex-president-asif-ali-zardari-arrested-in-bogus-accounts-case/story-uWfovXAnRXEvqA64rN1mDJ.html,5,0.34
Hindiustan Times, Imran Khan asks citizens to declare their undisclosed assets by June 30,world,2019-06-10,17:20:00,https://www.hindustantimes.com/world-news/imran-khan-asks-citizens-to-declare-their-undisclosed-assets-by-june-30/story-xInaOQbpXSznfYGKwv8pzN.html,6,0.35
India Today, Imran Khan follows PM Modis footsteps asks countrymen to pay taxesPakistan PM Imran Khan seems to be following Narendra Modi by asking his countrymen to pay their taxes and declare all benami properties,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/imran-khan-follows-pm-modi-s-footsteps-asks-countrymen-to-pay-taxes-1545756-2019-06-10,6,0.32
India Today, After Imran Khan writes to Modi US says onus to solve Indo Pak tension lies on PakistanThe White House has said Pakistan should take it on itself to resolve the tension between India and Pakistan,world,2019-06-11,00:10,https://www.indiatoday.in/world/story/united-states-indo-pak-relations-pakistan-1544886-2019-06-08,6,0.37
Indian Express, Russian newspapers publish identical front page to show solidarity with detained journalist,world,2019-06-10,15:51:46,https://indianexpress.com/article/world/russian-newspapers-ivan-golunov-solidarity-with-detained-journalist-5773236/,7,0.2
Indian Express, Russian journalist Ivan Golunov arrested on drug dealing charges What we know so far,world,2019-06-10,7:42:25 pm,https://indianexpress.com/article/world/who-is-ivan-golunov-russian-journalist-detained-for-charges-of-drug-dealing-5773436/,7,0.27
Indian Express, Russian journalist Ivan Golunov arrested on drug dealing charges What we know so far,world,2019-06-10,19:42:25,https://indianexpress.com/article/world/who-is-ivan-golunov-russian-journalist-detained-for-charges-of-drug-dealing-5773436/,7,0.28
Hindiustan Times, Writer sues publisher for 13 million after losing book deal over a tweet,world,2019-06-09,12:40:00,https://www.hindustantimes.com/world-news/writer-sues-publisher-for-13-4-million-after-losing-book-deal-over-a-tweet/story-p53ZRRckLhjbvatYtUdThL.html,7,0.43
