Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
CNN, Hong Kongs wildest dining experience,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/tung-po-hong-kong-restaurant/index.html,0,1.0
CNN, 5 dishes every Hanoi visitor needs to try,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/hanoi-food-best-dishes/index.html,1,0.29
CNN, Rat infestation plagues New Zealand town,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/17/asia/rats-titirangi-nz-intl-hnk/index.html,1,0.25
CNN, Pomelo combines e commerce with fashion stores,asia,2019-06-17,15:00,https://edition.cnn.com/videos/business/2019/06/11/pomelo-thailand-fast-fashion.cnn,1,0.25
CNN, Sri Panwas X24 Inside Phukets new most expensive holiday villa,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/sri-panwa-luxury-villa-x24-phuket-thailand/index.html,2,0.68
CNN, Hong Kong extradition law What happens next,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/15/asia/hong-kong-extradition-law-china-intl-hnk/index.html,3,0.29
CNN, Beijing walks a thin line as Hong Kong erupts at the worst possible time,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/13/asia/china-hong-kong-protests-intl-hnk/index.html,3,0.24
CNN, The return of Hong Kongs umbrella movement,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/12/asia/hong-kong-umbrella-extradition-intl-hnk/index.html,3,0.27
CNN, Hong Kong prepares for more China extradition bill protests as police backlash continues,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/14/asia/hong-kong-protests-police-tactics-intl-hnk/index.html,4,0.63
CNN, How did one of the safest cities in the world descend into violence,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/13/asia/hong-kong-violence-umbrella-intl-hnk/index.html,5,0.5
CNN, Hanois best boutique hotels,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/hanoi-boutique-hotels/index.html,6,0.55
CNN, Tourists from the US Canada Japan and Australia can now travel to Brazil visa free,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/brazil-lifts-visa-requirement/index.html,7,0.56
CNN, Joshua Wong released from prison day after hundreds of thousands march in Hong Kong,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/17/asia/joshua-wong-hong-kong-protests-intl-hnk/index.html,8,0.54
CNN, 7 super spicy South Korean dishes,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/korea-spicy-dishes/index.html,9,0.38
CNN, The social media campaign that aims to topple leader of Africas North Korea,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/14/africa/eritrea-social-medial-campaign-intl/index.html,9,0.33
CNN, Im not backing down this time Chinese dissident artist Badiucao reveals his identity,asia,2019-06-17,15:00,https://edition.cnn.com/style/article/badiucao-documentary-reveals-identity-intl/index.html,10,0.5
CNN, Hong Kong protest sees hundreds of thousands call for citys leader to step down,asia,2019-06-17,15:00,https://edition.cnn.com/asia/live-news/hong-kong-protests-june-16-intl-hnk/index.html,11,0.3
CNN, Sea of protesters brings Hong Kong to a standstill,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/asia/hong-kong-protest-carrie-lam-china-extradition-intl-hnk/index.html,11,0.28
CNN, Trump may raise Hong Kong protests with Xi as city remains a thorn in Beijings side,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/17/asia/china-hong-kong-us-protests-intl-hnk/index.html,11,0.28
CNN, City of dissent Hong Kong has a proud tradition of protesting to protect its unique identity,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/14/asia/hong-kong-protest-story-intl-hnk/index.html,11,0.28
CNN, The startup helping foodies to cook like the locals,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/cookly-online-platform-intl/index.html,12,0.2
CNN, The Seoul cafe that looks like a cartoon,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/cartoon-cafe-seoul/index.html,12,0.21
CNN, GPS WEB EXTRA Pelosi on Pyongyang,asia,2019-06-17,15:00,https://edition.cnn.com/videos/tv/2019/06/15/exp-gps-web-extra-pelosi-on-north-korea.cnn,12,0.29
CNN, Weakened by the trade war Xi returns to security conference ready to woo Modi and Putin,asia,2019-06-17,15:00,https://edition.cnn.com/2019/06/14/asia/xi-modi-putin-sco-intl-hnk/index.html,13,1.0
CNN, 7 reasons to visit gorgeous Hoi An,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/hoi-an-vietnam/index.html,14,1.0
CNN, How Tiananmen Squares Goddess of Democracy became a symbol of defiance,asia,2019-06-17,15:00,https://edition.cnn.com/style/article/tiananmen-square-goddess-of-democracy/index.html,15,0.61
CNN, Indias 30 most beautiful places to visit,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/india-beautiful-places/index.html,16,0.44
CNN, Best places to visit for the ultimate Asia experience,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/asia-best-places-to-visit/index.html,16,0.59
CNN, 30 of Vietnams most beautiful places,asia,2019-06-17,15:00,https://edition.cnn.com/travel/article/vietnam-most-beautiful-places/index.html,16,0.52
