Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Xi Putin condemn US dominance as tensions with Trump grow,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/xi-putin-condemn-us-dominance-as-tensions-with-trump-grow/articleshow/69698017.cms,0,0.38
CNN, USWNT dominates Chile to coast into Womens World Cup last 16,china,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/football/uswnt-chile-womens-world-cup-spt-intl/index.html,0,0.33
Times of India, Xi Jinping to meet PM Narendra Modi on sidelines of SCO summit,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/xi-jinping-to-meet-pm-narendra-modi-on-sidelines-of-sco-summit/articleshow/69711374.cms,1,0.48
Times of India, Xi Jinping Modi may discuss US trade protectionism at SCO Summit China,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/xi-jinping-modi-may-discuss-us-trade-protectionism-at-sco-summit-china/articleshow/69726603.cms,1,0.39
Times of India, India China do not pose threats to each other Xi Jinping tells Narendra Modi,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/india-china-do-not-pose-threats-to-each-other-xi-jinping-tells-narendra-modi/articleshow/69778310.cms,1,0.39
Times of India, Hong Kong retreats on China Bill but protestors vow to march ahead,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/hong-kong-retreats-on-china-bill-but-protestors-vow-to-march-ahead/articleshow/69807628.cms,2,0.49
Times of India, Hong Kong government to go ahead with extradition bill despite massive protests,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/hong-kong-government-to-go-ahead-with-extradition-bill-despite-massive-protests/articleshow/69731016.cms,2,0.37
Times of India, Hong Kong vows to press ahead with extradition bill despite huge protest,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/hong-kong-vows-to-press-ahead-with-extradition-bill-despite-huge-protest/articleshow/69719711.cms,2,0.29
Times of India, Taiwans request for US tanks and missiles sparks China anger,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/taiwans-request-for-us-tanks-and-missiles-sparks-china-anger/articleshow/69676742.cms,3,0.4
CNN, Facing an aggressive Beijing Taiwans president issues a warning,china,2019-06-17,15:00,https://edition.cnn.com/2019/02/19/asia/tsai-ing-wen-china-us-interview-intl/index.html,3,0.36
Times of India, China turns its anger on Cold War warrior Mike Pompeo,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/china-turns-its-anger-on-cold-war-warrior-mike-pompeo/articleshow/69785964.cms,3,0.38
Times of India, Hong Kongs Joshua Wong to be released from prison Monday Party,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/hong-kongs-joshua-wong-to-be-released-from-prison-monday-party/articleshow/69816505.cms,4,0.4
Times of India, Hong Kong activist Joshua Wong leaves jail vows to join protests,china,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/china/hong-kong-protest-leader-joshua-wong-released-from-prison/articleshow/69818914.cms,4,0.38
CNN, Thousands of Japanese women join campaign to ban workplace high heel requirements,china,2019-06-17,15:00,https://edition.cnn.com/style/article/japan-heels-petition-intl/index.html,4,0.32
