Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
CNN, Body of a 6 year old girl from India is found in the Arizona desert,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/14/us/arizona-indian-girl-body-found-in-the-desert/index.html,0,0.6
CNN, Cyclone Vayu approaches India,india,2019-06-17,15:00,https://edition.cnn.com/world/live-news/cyclone-vayu-india-june-2019/index.html,1,0.65
CNN, 300000 evacuated in India as Tropical Cyclone Vayu approaches,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/11/world/cyclone-vayu-india/index.html,1,0.62
CNN, India braces for Tropical Cyclone Vayu,india,2019-06-17,15:00,https://edition.cnn.com/india/live-news/cyclone-vayu-india-june-2019/index.html,1,0.59
CNN, Hong Kong extradition bill Hundreds of thousands join third huge protest in a week,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/asia/hong-kong-protest-carrie-lam-china-extradition-intl-hnk/index.html,2,0.43
CNN, Trump may raise Hong Kong protests with Xi as city remains a thorn in Beijings side,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/17/asia/china-hong-kong-us-protests-intl-hnk/index.html,2,0.41
CNN, US policy toward Iran is all stick and no carrot,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/15/middleeast/us-iran-policy-carrots-sticks-intl/index.html,3,0.38
CNN, Saudi crown prince blames Iran for Gulf of Oman tanker attacks,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/middleeast/tanker-attacks-saudi-iran-intl/index.html,3,0.36
CNN, Indian farmers are using the sun to help water their crops,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/business/india-solar-khethworks-farming/index.html,4,0.69
CNN, Indian election Full coverage,india,2019-06-17,15:00,https://edition.cnn.com/specials/india/india-election,4,0.38
CNN, Brain disease linked to lychee toxins kills 47 children in India,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/13/health/encephalitis-india-outbreak-deaths-lychee-intl/index.html,5,0.25
CNN, These spices may be the key to living a long life,india,2019-06-17,15:00,https://edition.cnn.com/videos/health/2019/03/28/spices-ayurveda-sanjay-gupta-chasing-life-orig-jg.cnn,5,0.51
CNN, Brain disease linked to lychee toxins kills 47 children in India,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/13/health/encephalitis-india-outbreak-deaths-lychee-intl/index.html,5,0.28
CNN, Weakened by the trade war Xi returns to security conference ready to woo Modi and Putin,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/14/asia/xi-modi-putin-sco-intl-hnk/index.html,6,0.33
CNN, India hopes to become fourth country on the moon in September,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/13/india/india-moon-mission-intl/index.html,7,1.0
CNN, India claimed gangbusters GDP growth A former government adviser says it was a mirage,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/11/economy/india-gdp-growth-arvind-subramanian/index.html,8,1.0
CNN, Collapse of Vietnam summit highlights dangerous fault lines,india,2019-06-17,15:00,https://edition.cnn.com/2019/02/28/opinions/how-safe-is-trumps-world-opinion-intl/index.html,9,1.0
CNN, The stories behind 10 of the worlds earliest known photographs,india,2019-06-17,15:00,https://edition.cnn.com/style/article/louvre-album-of-the-world/index.html,10,0.52
CNN, Absent US diplomacy India and Pakistan stand at the precipice of war,india,2019-06-17,15:00,https://edition.cnn.com/2019/02/27/opinions/india-pakistan-precipice-of-war-rafia-zakaria/index.html,11,0.42
CNN, Internet warriors are pushing India and Pakistan onto dangerous ground,india,2019-06-17,15:00,https://edition.cnn.com/2019/02/28/india/india-pakistan-social-media-pressure-intl/index.html,11,0.4
CNN, The biggest game in world sport India Pakistan rivalry offers a chance to show rare unity,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/13/sport/cricket-world-cup-india-pakistan-spt-intl/index.html,11,0.39
CNN, 8 of Indias most incredible temples,india,2019-06-17,15:00,https://edition.cnn.com/travel/article/most-incredible-temples-india/index.html,12,0.31
CNN, India is hitting the United States with more tariffs,india,2019-06-17,15:00,https://edition.cnn.com/2019/06/15/economy/india-tariffs-us-trump/index.html,12,0.27
CNN, What these rare images of 19th century India tell us about colonial rule,india,2019-06-17,15:00,https://edition.cnn.com/style/article/india-photography-19th-century/index.html,12,0.29
CNN, Sundar Pichai I never asked to be Google CEO,india,2019-06-17,15:00,https://edition.cnn.com/videos/business/2019/06/16/google-ceo-sundar-pichai-childhood-in-india-orig.cnn-business,13,1.0
