Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, More than half of HIV patients in Pakistans Sindh province remain without treatment WHO,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/more-than-half-of-hiv-patients-in-pakistans-sindh-province-remain-without-treatment-who/articleshow/69713348.cms,0,0.56
Times of India, Pakistan court rejects Musharrafs plea to adjourn high treason case,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/pakistan-court-rejects-musharrafs-plea-to-adjourn-high-treason-case/articleshow/69757129.cms,1,0.56
Times of India, Zardari vows to remove Imran Khans govt,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/remove-imran-to-save-nation-zardari/articleshow/69659537.cms,2,0.29
Times of India, Want peace with India to spend on fighting poverty not arms Imran Khan,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/want-peace-with-india-to-spend-on-fighting-poverty-not-arms-imran/articleshow/69780317.cms,2,0.26
Times of India, Imran Khan asks Pakistanis to declare their undisclosed assets by Jun 30,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/imran-khan-asks-pakistanis-to-declare-their-undisclosed-assets-by-jun-30/articleshow/69724364.cms,2,0.26
Times of India, Bilwal Bhutto accuses Pakistan govt of targeting opposition judiciary,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/bilwal-bhutto-accuses-pakistan-govt-of-targeting-opposition-judiciary/articleshow/69602288.cms,2,0.22
Times of India, Pak ’ s pro Khalistani Sikh leader stirs row with provocative social media post,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/paks-pro-khalistani-sikh-leader-stirs-row-with-provocative-social-media-post/articleshow/69654218.cms,3,1.0
Times of India, Former Pakistani president Asif Ali Zardari arrested on corruption charges,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/former-pakistani-president-asif-ali-zardari-arrested-on-corruption-charges/articleshow/69726878.cms,4,0.16
Times of India, MQM chief Altaf Hussain arrested in London,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/mqm-chief-altaf-hussain-arrested-in-london/articleshow/69747085.cms,4,0.2
Times of India, Pak authorities arrest 3 JuD members from Punjab province,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/pak-authorities-arrest-3-jud-members-from-punjab-province/articleshow/69591935.cms,4,0.18
Times of India, Asif Ali Zardari admitted to hospital after drop in sugar level blood pressure Media report,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/asif-ali-zardari-admitted-to-hospital-after-drop-in-sugar-level-blood-pressure-media-report/articleshow/69778339.cms,4,0.18
Times of India, Former Pak president Asif Zardari arrested by anti graft body,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/former-pak-president-asif-zardari-arrested-by-anti-graft-body/articleshow/69731050.cms,4,0.21
Times of India, Pakistan anti graft body arrests ex President Zardaris sister in fake accounts case,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/pakistan-anti-graft-body-arrests-ex-president-zardaris-sister-in-fake-accounts-case/articleshow/69791762.cms,4,0.29
Times of India, N deterrence helped de escalate tensions during Pulwama crisis Pak official,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/n-deterrence-helped-de-escalate-tensions-during-pulwama-crisis-pak-official/articleshow/69602906.cms,5,1.0
Times of India, Pakistan grants Rs 100 crore in budget for Kartarpur corridor,pakistan,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/pakistan/pak-grants-rs-100-crore-in-2019-20-budget-for-kartarpur-corridor-project/articleshow/69749925.cms,6,1.0
