Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
CNN, Donald Trump London mayor Sadiq Khan a disaster over spate of violence,uk,2019-06-17,15:00,https://edition.cnn.com/2019/06/16/uk/donald-trump-sadiq-khan-london-stabbings-intl-scli-gbr/index.html,0,0.37
Times of India, Trump stirs up feud with London Mayor over attacks in city,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/trump-stirs-up-feud-with-london-mayor-over-attacks-in-city/articleshow/69814768.cms,0,0.33
Times of India, Donald Trump gets harpooned for Prince of Whales spelling error,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/donald-trump-gets-harpooned-for-prince-of-whales-spelling-error/articleshow/69781617.cms,0,0.32
Times of India, UK home secretary puzzled by exclusion from Donald Trump banquet,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/uk-home-secretary-puzzled-by-exclusion-from-donald-trump-banquet/articleshow/69771530.cms,0,0.3
CNN, British food 20 best dishes,uk,2019-06-17,15:00,https://edition.cnn.com/travel/article/classic-british-food/index.html,1,0.24
Times of India, Theresa May gets set for resignation as British PM,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/theresa-may-gets-set-for-resignation-as-british-pm/articleshow/69680492.cms,1,0.17
Times of India, Where Theresa May went wrong,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/where-theresa-may-went-wrong/articleshow/69687997.cms,1,0.17
Times of India, Hundreds more Indians confirmed as British under Windrush Scheme,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/hundreds-more-indians-confirmed-as-british-under-windrush-scheme/articleshow/69740084.cms,1,0.19
Times of India, Drugs and Brexit Race to replace UKs Theresa May under way,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/drugs-and-brexit-race-to-replace-uks-theresa-may-under-way/articleshow/69724541.cms,1,0.19
CNN, A British man donated his frozen big toe to a Yukon bar so he can drink it in a cocktail,uk,2019-06-17,15:00,https://edition.cnn.com/travel/article/frozen-toe-yukon-bar-intl-scli/index.html,1,0.19
Times of India, UK Tories warned not to crown Boris Johnson without a fight,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/uk-tories-warned-not-to-crown-boris-johnson-without-a-fight/articleshow/69811715.cms,2,0.57
CNN, Three hospital patients dead from listeria linked to pre packaged sandwiches,uk,2019-06-17,15:00,https://edition.cnn.com/2019/06/07/health/three-dead-listeria-contaminated-sandwiches-intl-scli-gbr/index.html,3,0.5
CNN, Boris Johnson dodges questions on cocaine and Brexit But it likely wont stop him being the UKs next leader,uk,2019-06-17,15:00,https://edition.cnn.com/2019/06/12/uk/boris-johnson-press-conference-analysis-intl-gbr/index.html,3,0.25
CNN, Boris Johnson dodges questions on cocaine and Brexit But it likely wont stop him being the UKs next leader,uk,2019-06-17,15:00,https://edition.cnn.com/2019/06/12/uk/boris-johnson-press-conference-analysis-intl-gbr/index.html,3,0.25
CNN, Charlie Martin Transgender driver chases Le Mans 24 Hour race dream,uk,2019-06-17,15:00,https://edition.cnn.com/2019/06/14/motorsport/charlie-martin-transgender-le-mans-dream-spt-intl/index.html,4,0.35
Times of India, Dad finds Uber driver raping girl by side of road,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/dad-finds-uber-driver-raping-girl-by-side-of-road/articleshow/69709151.cms,4,0.33
CNN, I am not a monster I simply am Amanda says Knox on tearful return to Italy,uk,2019-06-17,15:00,https://edition.cnn.com/2019/06/14/europe/amanda-knox-italy-justice-festival-intl/index.html,5,0.18
Times of India, Trump walks back comments on UK health care and more,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/trump-walks-back-comments-on-uk-health-care-and-more/articleshow/69661865.cms,5,0.19
Times of India, Trump baby blimp flies in London as protests greet president,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/trump-baby-blimp-flies-in-london-as-protests-greet-president/articleshow/69652325.cms,5,0.2
Times of India, UKs May will make clear to Trump that Huawei role is under review spokeswoman,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/uks-may-will-make-clear-to-trump-that-huawei-role-is-under-review-spokeswoman/articleshow/69648589.cms,5,0.19
CNN, Egypt says a Tutankhamun statue up for auction in London might have been stolen,uk,2019-06-17,15:00,https://edition.cnn.com/style/article/christies-tutankhamen-auction-scli-intl/index.html,5,0.18
Times of India, Pomp parade marks Queen Elizabeth IIs official birthday,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/pomp-parade-marks-queen-elizabeth-iis-official-birthday/articleshow/69704860.cms,6,0.11
Times of India, Crowd shouts chor chor as Vijay Mallya leaves Oval after India Australia match,uk,2019-06-17,14:59,https://timesofindia.indiatimes.com/world/uk/mallya-tells-media-hes-at-the-oval-to-watch-the-game-evades-questions-on-court-hearing/articleshow/69716768.cms,6,0.11
