Newspaper,Heading,Date,Time,URL
Hindiustan Times,"Assam HS Result 2019 LIVE updates: AHSEC 12th results declared at ahsec.nic.in, website crashed",2019-05-25,09:51:00,https://www.hindustantimes.com/education/assam-board-hs-result-2019-live-updates-ahsec-12th-results/story-13mwOgBkszS7wJRA0uDj0L.html
Hindiustan Times,Assam board HS Result 2019 today: List of websites to check AHSEC 12th results ,2019-05-25,10:14:00,https://www.hindustantimes.com/education/assam-board-hs-result-2019-today-list-of-websites-to-check-ahsec-12th-results/story-5LVvksfVWvjyZZ7oLSG65M.html
Hindiustan Times,GSEB HSC Result: Gujarat Board 12th arts and commerce result 2019 soon at gseb.org,2019-05-25,07:53:00,https://www.hindustantimes.com/education/gseb-hsc-result-date-gujarat-board-12th-arts-and-commerce-result-2019-tomorrow-at-gseb-org/story-4PzptoXc963ACBG3V6odiL.html
Hindiustan Times,"Karnataka Common Entrance Test  (KCET)2019 Result out today, direct link here. Jefin Biju tops in engineering",2019-05-25,13:33:00,https://www.hindustantimes.com/education/karnataka-common-entrance-test-kcet-2019-result-out-today-direct-link-here-jefin-biju-tops-in-engineering/story-Q55PVU9j8KkDEQVqpwv2AI.html
Hindiustan Times,"Schools can run extra classes for class 10th, 12th only between 7 and 11 am, directs DIoS ",2019-05-25,10:45:00,https://www.hindustantimes.com/education/schools-can-run-extra-classes-for-class-10th-12th-only-between-7-and-11-am-directs-dios/story-stQbCIZ233UdDl7c5xY4ZJ.html
Hindiustan Times,"Assam AHSEC 12th result 2019 declared, check marks at ahsec.nic.in",2019-05-25,09:06:00,https://www.hindustantimes.com/education/assam-ahsec-12th-result-2019-declared-check-marks-at-ahsec-nic-in/story-ueE5AL2itbn6t3LlPDPTgJ.html
Hindiustan Times,"Gujarat GSEB 12th result 2019 declared, check HSC marks at gseb.org. Result at a glance",2019-05-25,09:32:00,https://www.hindustantimes.com/education/gujarat-gseb-12th-result-2019-declared-check-hsc-marks-at-gseb-org/story-qg5yTE2jnlc96s6NGWf7RM.html
Hindiustan Times,Assam board HS Result 2019 today: List of websites to check AHSEC 12th results ,2019-05-25,10:14:00,https://www.hindustantimes.com/education/assam-board-hs-result-2019-today-list-of-websites-to-check-ahsec-12th-results/story-5LVvksfVWvjyZZ7oLSG65M.html
Hindiustan Times,"Assam HS Result 2019 LIVE updates: AHSEC 12th results declared at ahsec.nic.in, website crashed",2019-05-25,09:51:00,https://www.hindustantimes.com/education/assam-board-hs-result-2019-live-updates-ahsec-12th-results/story-13mwOgBkszS7wJRA0uDj0L.html
Hindiustan Times,"Gujarat GSEB 12th HSC result declared 2019 live updates: Check scores of arts, commerce exam at gseb.org",2019-05-25,12:36:00,https://www.hindustantimes.com/education/gujarat-gseb-12th-hsc-result-2019-live-update/story-t5j7NQJm932IlVdtkCTwtI.html
